userName,app,score,at,content,normalized_text
Theodora Cindy,Gojek,2,2026-04-22 11:08:47,aplikasi tolol. driver cancel tapi gada notif apa apa. tampilan aplikasi pun ga berubah,aplikasi tolol pengemudi cancel gada notif apa apa tampil aplikasi tidak ubah
Fahrun Iqbal,Gojek,5,2026-04-22 11:06:43,"Akun go-ride jabodetabek reguler kapan buka nya ya ? saya di wa nya yg gocar terus, perasaan saya ga pernah daftar gocar",akun goride jabodetabek reguler kapan buka nya wa nya yang go car terus asa saya tidak pernah daftar go car
Ubay Fahmi,Gojek,5,2026-04-22 10:49:35,Sangat membantu saya.,sangat bantu
Diesta Andika,Gojek,5,2026-04-22 10:38:12,gercep,gercep
Abie Musa,Gojek,5,2026-04-22 10:35:56,Sangat membantu untuk memenuhi kebutuhan sehari-hari 👍,sangat bantu penuh butuh seharihari
Yana Lia,Gojek,5,2026-04-22 10:31:48,mantap,mantap
Samber Nyowo,Gojek,3,2026-04-22 10:31:48,ongkir mahal,ongkir mahal
Fanny visual,Gojek,5,2026-04-22 10:18:27,sangat membantu sekali,sangat bantu sekali
Fauziyah Salma 福だ uzy,Gojek,1,2026-04-22 10:14:16,aplikasi paling buruk dan zhalim,aplikasi paling buruk zhalim
Dimas Aditya,Gojek,1,2026-04-22 10:10:28,"untuk pengemudi terutama motor itu sering lawan arah tolong lah di tindak,kalo di suspend berapa hari masih lawan arah copot ajah udah mitranya BIKIN GANGGU RISIH KAYA GENG MOTOR",kemudi utama motor sering lawan arah lah tindakkalo suspend berapa hari lawan arah copot ajah sudah mitra bikin ganggu risih kaya geng motor
Dhya' Qisthina,Gojek,1,2026-04-22 09:19:39,"baru pertama kali ditolak, ditinggal pergi padahal udah nyampe, driver yang jogja malesi, gak sopan, labil kaya anak SD, gak niat kerja,",baru pertama kali tolak tinggal pergi padahal sudah nyampe pengemudi jogja malesi tidak sopan labil kaya anak sd tidak niat kerja
JOHANES HANIBAL PALIT,Gojek,5,2026-04-22 09:13:23,sangat cepat penjemputan ya dan sangat baik layanan ya ... makasih,sangat cepat jemput dan sangat baik layan terima kasih
Rahkes Manibalan,Gojek,5,2026-04-22 09:12:40,baik semoga lebih baik lagi,baik moga lebih baik
Anggih Agustian,Gojek,5,2026-04-22 09:08:11,bagus sekali,bagus sekali
Ahza123,Gojek,1,2026-04-22 08:59:01,"ramah sama penumpangnya doang, sama orang lain kagak ramah. pikiran duit doang ini mah 😂😂 kerjaan ampas",ramah sama tumpang doang sama orang kagak ramah pikir duit doang mah kerja ampas
Hans Silalahi,Gojek,1,2026-04-22 08:48:36,banyak pengemudi yang tidak taat aturan. contohnya melawan arah yang dilakukan oleh driver dengan plat bg 5877 AFH. tolong urus kasusnya,banyak kemudi tidak taat atur contoh lawan arah laku pengemudi plat bg afh urus kasus
ummina simbolon,Gojek,5,2026-04-22 08:46:25,sangat membantu,sangat bantu
Chikmatul Azizah,Gojek,5,2026-04-22 08:39:25,ramah dan pelayanan nya baik,ramah layan nya baik
Ariful Anwar,Gojek,5,2026-04-22 08:31:35,"sayang KLO hujan nyantole driver susah ,makanya sistem driver jangan diotak Atik terus biar gak sulit",sayang kalau hujan nyantole pengemudi susah makanya sistem pengemudi jangan otak atik terus biar tidak sulit
Topan Al bahasyim,Gojek,5,2026-04-22 07:59:51,mantulll,mantulll
andri kusuma,Gojek,5,2026-04-22 07:53:04,Mantab Gocar Gojek Maju terus...,mantab go car gojek maju terus
Fanz Xkoo,Gojek,5,2026-04-22 07:43:35,sangat praktis untuk mendapatkan jasa antaran,sangat praktis dapat jasa antar
Robi Irwan,Gojek,5,2026-04-22 07:30:47,sangat membantu,sangat bantu
Fen 969,Gojek,1,2026-04-22 07:25:03,daftar aja ribet amat kan saya mau ngojek bukan jadi drever ampun deh,daftar aja ribet kan mau ngojek bukan jadi drever ampun deh
Muhammad Husaeni,Gojek,5,2026-04-22 07:14:24,sangat membantu,sangat bantu
Raymon Star,Gojek,5,2026-04-22 07:00:09,oke bangett lumayanlah,baik bangett lumayan
Aulia Kurniawan,Gojek,5,2026-04-22 06:59:59,"Aplikasi sangat rekomendasi memudahkan dalam sehari hari aktivitas kita, Terimakasih.",aplikasi sangat rekomendasi mudah hari hari aktivitas terimakasih
weather report,Gojek,5,2026-04-22 06:57:44,enak untuk menjelajahi semua tempat,enak jajah semua tempat
Opis Comel,Gojek,5,2026-04-22 06:55:00,solusi tepat untuk aman berkendara,solusi tepat aman kendara
Caesar Iyong06,Gojek,5,2026-04-22 06:50:09,dengan aplikasi ini kebutuhan saya yang mendadak dan tidak langsung beli kebutuhan saya di toko sangangat membantu,aplikasi butuh yang dadak tidak langsung beli butuh di toko sangangat bantu
Alfa Shop,Gojek,3,2026-04-22 06:43:39,"HILANGKAN FITUR PADA APLIKASI CUSTOMER YANG MENGIJINKAN PELANGGAN BISA MEMESAN LEBIH DARI 1 ORDERAN PADA SEMUA LAYANAN PADA APLIKASI GOJEK AGAR TIDAK TERJADI DOUBLE ORDER KARENA AKAN MERUGIKAN DRIVER JIKA MENDAPAT PELANGGAN YG AGAK GAPTEK SEHINGGA TIDAK BISA MEMBATALKAN ORDERAN YG TIDAK SENGAJA ATAU KARENA HAL LAIN. MOHON PERHATIAN DAN KERJASAMANYA, TERIMAKASIH.",hilang fitur aplikasi customer mengijinkan langgan mes lebih pesan semua layan aplikasi gojek jadi double pesan akan rugi pengemudi dapat langgan yang gaptek tidak batal pesan yang tidak sengaja karena lain mohon perhati kerjasamanya terimakasih
Supri Yadi,Gojek,5,2026-04-22 06:23:09,g ribet,g ribet
Muhammad Syahidin,Gojek,5,2026-04-22 05:50:59,sangat membantu,sangat bantu
Ari Santy,Gojek,5,2026-04-22 05:41:00,enak laah laper laper g pusing keluar beli makan,enak laah laper laper g pusing keluar beli makan
Gojek Jakarta Driver,Gojek,5,2026-04-22 05:37:09,"Gojek.., sangat mnunjang utk Kepentingan Masyarakat.",gojek sangat mnunjang untuk penting masyarakat
Kristanti Wardani,Gojek,5,2026-04-22 05:17:48,memyenangkn dpt driver ramah,memyenangkn dpt pengemudi ramah
Osii Muhamad,Gojek,1,2026-04-22 05:10:40,"ongkir mahal dapat driver yang dari jauh mulu, padahal di depan mata banyak driver pada tiduram. apalagi pesen gofod di lama2in",ongkir mahal pengemudi dari jauh mulu padahal depan mata banyak pengemudi tiduram sen gofod lamain
Keyong Warna,Gojek,1,2026-04-22 05:08:08,"makin ribet aja mau jadi konsumen, prosesnya mulai mirip mau jadi nasabah pinjol aja. auto geser sebelah bersama sekeluarga dan ngajak semua koneksi yang dipunya.",makin ribet aja mau jadi konsumen proses mulai mirip mau jadi nasabah pinjol aja auto geser belah sama keluarga ngajak semua koneksi punya
Miftahul Rohmah,Gojek,5,2026-04-22 05:05:24,banyak promo i like it,banyak promo i like it
Wiwin Bunda Salma GNC,Gojek,5,2026-04-22 04:56:52,naik grab lebih praktis dan lebih nyaman,naik grab lebih praktis lebih nyaman
eko cahyono,Gojek,5,2026-04-22 04:56:48,berkendara dengan aman dan mudah,kendara aman mudah
Arjuna Shop,Gojek,5,2026-04-22 04:47:33,Baguus pelayanan nya. gojek sgt bermanfaat dan membantu saya. Terimakasih yaa,baguus layan nya gojek sgt manfaat bantu terimakasih yaa
Nailyn Insyroh,Gojek,4,2026-04-22 04:45:40,ada gojek mudah mles kluar rmh di tngah terikny mthari gjekin ja.slesai,gojek mudah mles kluar rmh tngah terikny mthari gjekin jaslesai
Slamet,Gojek,1,2026-04-22 04:45:20,aplikasi ga bisa di andelin,aplikasi tidak di andelin
Ir. I Wayan Gomudha. MT.,Gojek,5,2026-04-22 04:41:06,"Waktu jemput baik, kualitas kendaraan kurang perawatan....",waktu jemput baik kualitas kendara kurang awat
Tohari Jabe,Gojek,1,2026-04-22 04:29:31,"aplikator kabar nya tidak mau bakar duit tapi bakar duit driver, promosi diskon dari para mitra driver dan resto, pesan gofood harganya mahal, ongkir juga mahal, apalagi akal akal an mode hemat , reguler,dan Flass/ekspres, padahal driver sama saja, bedanya cuma di pencarian driver oleh aplikator,kalo pake hemat di tahan lama tidak di kasih driver buat nunggu di dobel orderannya,kalo ekspres langsung dapet driver tapi lalo resto lama ya sampai tetap lama karena cuma modus gojek saja nyari untung",aplikator kabar nya mau bakar duit bakar duit pengemudi promosi diskon para mitra pengemudi resto pesan go food harga mahal ongkir mahal akal akal an mode hemat regulerdan flassekspres padahal pengemudi sama beda cuma cari pengemudi aplikatorkalo pakai hemat tahan lama kasih pengemudi buat nunggu di dobel orderannyakalo ekspres langsung dapet pengemudi lalo resto lama sampai tetap lama cuma modus gojek nyari untung
Code Name Da Vinci,Gojek,1,2026-04-22 04:20:15,"setelah bertahun-tahun menggunaka gojek akhirnya saya putuskan untuk tidak pakai lagi, karna banyak driver yang ngatur customer dan pengalaman² tidak menyenangkan lainya thank u gojek",bertahuntahun menggunaka gojek akhir putus pakai karena banyak pengemudi ngatur customer alam tidak senang lai thank untuk gojek
Rosma Mila,Gojek,5,2026-04-22 04:05:02,"ganti akun, bikin akun, mau beli apa jg ok . gampang gk ribet.. pokok nya joss pisa,, driver nya ada di mna² mau hujan mau banjir di usahakan ada terus buat layanin customer nya🥰🥰",ganti akun bikin akun mau beli apa juga gampang tidak ribet pokok nya joss pisa pengemudi nya mna mau hujan mau banjir di usaha terus buat layanin customer nya
Choiriyah 06,Gojek,5,2026-04-22 04:03:27,recommended,recommended
Musleh Musleh,Gojek,5,2026-04-22 03:41:06,murah dan drever nya ramah,murah drever nya ramah
Devi Indriyani,Gojek,1,2026-04-22 03:26:54,"butut, mentang2 order yang murah driver pada ga ada jawaban. udh 5 driver. pdahal pake yang murahpun saya suka kasih lebih",butut mentang pesan murah pengemudi tidak jawab sudah pengemudi pdahal pakai murah suka kasih lebih
vanda vanda,Gojek,1,2026-04-22 03:20:46,"banyak drever yang mengeluh karna banyak kebijakan"" aplikator yang merugikan drever contoh program hemat gacor dan selot dan aceng,",banyak drever keluh karena banyak bijak aplikator rugi drever contoh program hemat gacor selot aceng
dwi Wahyudinarno,Gojek,1,2026-04-22 02:51:51,"pembayarannya masih pakai gopay , pembayaran tunai dan qris tidak diterima di aplikasi ini , sedangkan saya gak bisa pesen pakai gopay kadang lupa isi saldo gopaynya aq",bayar pakai gopay bayar tunai qris terima aplikasi sedang tidak sen pakai gopay kadang lupa isi saldo gopaynya aq
Ibrahim Hasan Mufti,Gojek,5,2026-04-22 02:40:09,madeppp,madeppp
06. Aulia Nur Fathima Azzahra,Gojek,3,2026-04-22 02:22:55,ini kapan gojek ngadain fitur kirim gambar lagi? pas itu ada tapi ilang lagi. kenapa sih diilangin mulu. ribet harus buka laptop buat fotoin patokan,kapan gojek ngadain fitur kirim gambar pas ada ilang kenapa sih diilangin mulu ribet buka laptop buat fotoin patok
Rully Regar,Gojek,5,2026-04-22 02:22:48,Dijemput tepat waktu dan bila tidak ada konfirmasi dari driver,jemput tepat waktu bila ada konfirmasi pengemudi
Mustika mumus,Gojek,5,2026-04-22 02:16:23,sangat membantu . terimakasih,sangat bantu terimakasih
Waisul Alqurni,Gojek,5,2026-04-22 02:12:08,sangat membantu,sangat bantu
Santi Hani mulyani Santi,Gojek,5,2026-04-22 01:47:08,pelayanan cepat,layan cepat
Khairunnisa Dini,Gojek,5,2026-04-22 01:42:15,aman dn cepat,aman dn cepat
M Rohim,Gojek,5,2026-04-22 01:04:34,nyaman dn cepat penjemputan,nyaman dn cepat jemput
Ronih,Gojek,5,2026-04-22 01:03:58,Ok deh gan mantap barang ya makasih banyak gan mantap barang ya,deh gan mantap barang terima kasih banyak gan mantap barang
agung hamonangan,Gojek,1,2026-04-22 01:00:27,"pendiri korup, ongkos korup, aduh",diri korup ongkos korup aduh
zaenal arifin,Gojek,5,2026-04-22 00:40:49,"Pakai sejak 2015,,,,",pakai sejak
risa marisa,Gojek,5,2026-04-22 00:27:55,mantab,mantab
Ambar Saraswati,Gojek,1,2026-04-22 00:19:57,untuk pembayaran udh pake gopay tpi pas udh selesai.a tau2.a mlh pake cash udah gitu mau di ganti ke gopay gk bisa2 ini apk.a lgi kenapa dah,bayar sudah pakai gopay tpi pas sudah selesaia taua mlh pakai cash sudah gitu mau ganti gopay tidak ini apka lagi sudah
otniel sinaga,Gojek,1,2026-04-22 00:19:01,tidak ada penalti driver seenaknya PHP penumpang dan tolong ada sistem disiplin driver seenaknya batalkan pesanan,penalti pengemudi enak php tumpang tolong ada sistem disiplin pengemudi enak batal pesan
DennyS,Gojek,1,2026-04-22 00:09:10,map driver & customers berbeda.saat penjemputan & pengantaran dikasih jalur yang memutar jadi lebih jauh.map berubah ubah..,map pengemudi customers berbedasaat jemput antar kasih jalur putar jadi lebih jauhmap ubah ubah
keisyaa Syaaa,Gojek,5,2026-04-21 23:59:09,banyak diskonn!!!,banyak diskonn
Sukenti Sukenti,Gojek,5,2026-04-21 23:49:50,gojek ok,gojek
Prasetya Wijaya,Gojek,5,2026-04-21 23:21:50,Tepat waktu dan aman sampai tujuan,tepat waktu aman tuju
Syamsul Hadi,Gojek,1,2026-04-21 23:03:32,makin songong,makin songong
17 Izalana Ikfina Dina Kamila,Gojek,1,2026-04-21 23:02:54,Susah banget dapet gojek pagi pagi udah nyari setengah jam tetep gk dapet dapet pafahal harus berangkat pagi karna ada tka dan tkad malah yang pas hari ujian itu gk dapet gojek jadi sering telat ke sekolah.,susah banget dapet gojek pagi pagi sudah nyari tengah jam tetep tidak dapet dapet pafahal berangkat pagi karena tka tkad malah pas hari uji tidak dapet gojek jadi sering telat sekolah
Nur Idham,Gojek,5,2026-04-21 22:38:27,sangat baik,sangat baik
abdul gafurBerau,Gojek,5,2026-04-21 22:32:44,"Gojek sudah Banyak Membantu dalam perkembangan usaha saya, terima kasih",gojek banyak bantu kembang usaha terima kasih
Budi Rewes,Gojek,5,2026-04-21 20:16:55,sangat membantu,sangat bantu
Satya Dava,Gojek,1,2026-04-21 19:52:39,toko sering tutup tengah malem tetapi pesanan sedang di proses jadi driver gabisa ambil dan pesanan susah di batalkan.,toko sering tutup tengah malem pesan sedang proses jadi pengemudi gabisa ambil pesan susah batal
Maulana,Gojek,4,2026-04-21 19:50:35,boleh.....di coba akses pasti sukses,bolehdi coba akses sukses
Muhamad irfan Fadila efendi,Gojek,1,2026-04-21 19:33:13,"ngapain iklan Mulu di aplikasi lain,ganggu banget",ngapain iklan mulu aplikasi lainganggu banget
Naemi Yasushi,Gojek,5,2026-04-21 19:00:19,enak banget ya,enak banget
Tri Anto,Gojek,5,2026-04-21 17:15:42,good job 👍,good job
Suanti Tjan,Gojek,3,2026-04-21 16:28:38,sy login gojek kok tak bisa ya tak ada di ksh kode otp nya dlu sy login pki redmi tapi sekarang sy login pki hp samsung A55 tolong di rubah segera kasih info nya ngimna bisa login biar sy bisa segera pki gojek nya,saya login gojek kok tak ya tak di ksh kode otp nya dlu saya login pki redmi sekarang saya login pki hp samsung a di rubah segera kasih info nya ngimna login biar saya segera pki gojek nya
Pendie RMJ,Gojek,5,2026-04-21 16:28:07,oke sangat membantu banget,baik sangat bantu banget
Aiisah Titi,Gojek,4,2026-04-21 16:08:48,lumayan bagus,lumayan bagus
Budy Satriyo,Gojek,5,2026-04-21 16:01:30,AMAN SENTOSA,aman sentosa
Haven Drevanor,Gojek,1,2026-04-21 15:40:59,makin susah dapat driver padahal ga pake hemat,makin susah pengemudi padahal tidak pakai hemat
Bang Sena,Gojek,5,2026-04-21 15:38:23,mantap,mantap
Nurannisa Arifin,Gojek,5,2026-04-21 15:35:27,sangat membantu aku yang sangat kerepotan dengan anak bayi dua tdk bs kemana2 dengan adanya gojek perutku tak pernah kosong😎😁,sangat bantu saya sangat kerepot anak bayi tidak bs dengan ada gojek perut tak pernah kosong
nuridho 1981,Gojek,5,2026-04-21 15:06:51,its so help...,its so help
belum ada judul cileungsi,Gojek,2,2026-04-21 14:38:07,"kasihan driver nya,saya bayar 50000 tapi driver dapat bersih 25000 sisa potongan gede banget gojek makannya",kasihan pengemudi nyasaya bayar pengemudi bersih sisa potong gede banget gojek makan
Ferry Ansyah (Kribo aje),Gojek,1,2026-04-21 14:24:59,"makin kesini makin keliatan jelas sistem dajal lu,rakus driver&keluarga ny makin ditindas",makin kesini makin liat jelas sistem dajal lurakus driverkeluarga ny makin tindas
Integral Ridwan,Gojek,1,2026-04-21 14:17:52,"driver bisa lihat rating yg diberikan oleh customer dan juga dia bisa memberikan rating kepada customer, heh bungg.. tolong dong buat customer jg bisa lihat ratingnya yg diberikan oleh driver jgn hanya sepihak!! update itu tambahin upload foto & video untuk rating makanan gofood. minta update doang gak ada perubahan, tuh biaya jasa aplikasi buat apaan?",pengemudi lihat rating yang beri customer juga beri rating customer heh bungg dong buat customer juga bisa lihat ratingnya yang beri pengemudi jgn pihak perbarui tambahin upload foto video rating makan go food minta perbarui doang tidak ubah itu biaya jasa aplikasi buat apa
Reva Calista N.,Gojek,4,2026-04-21 14:14:11,"aku suka gojek, sangat membantu aku untuk pergi², sayang gojek😆💚💚",saya suka gojek sangat bantu saya pergi sayang gojek
Hn Hn,Gojek,1,2026-04-21 14:06:02,"ketemu driver g jelas sini order udah bayar lunas kirim makanan g hati2 padahal cuma 1 kresek besar endingnya jatuh semua, kyk sampah tolong drivernya d training lg yg bener",ketemu pengemudi g jelas sini pesan sudah bayar lunas kirim makan g hati padahal cuma kresek besar endingnya jatuh semua kyk sampah drivernya d training lagi yang bener
Nasya. Rayhana,Gojek,5,2026-04-21 13:34:49,mantablah pakai gojek,mantablah pakai gojek
Alin nabila,Gojek,3,2026-04-21 13:24:09,aku kasih bintang 3 untuk smentara karena kalo misalkan abis ujan suka lama banget nyaut ke gojeknya,saya kasih bintang smentara kalo misal abis ujan suka lama banget nyaut gojek
Paulus SS,Gojek,2,2026-04-21 13:21:34,"kenapa ada 2 verifikasi.. (nomer hp dan email) jadi nggak bisa login di akun gojek, krn email sdh ganti..! sdh kirim email buat cari solusi...nggak dibalas..!!",ada verifikasi nomer hp email jadi bisa login akun gojek karena email sudah ganti sudah kirim email buat cari solusinggak balas
Jainuri Rendy,Gojek,5,2026-04-21 13:07:49,tepat waktu,tepat waktu
TRIS YANTO,Gojek,5,2026-04-21 12:56:07,semoga jadi lebih mudah,moga jadi lebih mudah
berliana pardede,Gojek,1,2026-04-21 12:50:48,"mohon maaf sebesar besarnya tetapi mohon ya bagi orang orang yg kyk gini,aku udh mesen gojek tetapi gojeknya gk sampai sampai padahal udh nunggu hampir tigapuluan menit,mohon ditegur atau dimarahi sekian terimakasih",mohon maaf besar besar mohon bagi orang orang yang kyk giniaku sudah mesen gojek gojek tidak sampai padahal sudah nunggu hampir tigapuluan menitmohon tegur marah sekian terimakasih
Komaruddin Ruddin,Gojek,5,2026-04-21 12:45:19,mantap 👍,mantap
Faris Dwi Kurniawan,Gojek,1,2026-04-21 12:36:03,kebanyakan ambil untung,banyak ambil untung
Gar Njn,Gojek,5,2026-04-21 12:25:48,sangat bagus,sangat bagus
A S,Gojek,2,2026-04-21 12:11:08,"Untuk driver motor tidak ada masalah gercep,hanya untuk driver gocar sangat tidak rekomendasi. Gofood reguler biaya mahal dobel order pula.",pengemudi motor ada masalah gercephanya pengemudi go car sangat rekomendasi go food reguler biaya mahal dobel pesan
Pakde Bedjo,Gojek,5,2026-04-21 12:07:50,sangat membantu...cuma ada kekurangan sdikit..disaat buru buru...terkadang agak lama dapatnya driver...mungkin sj kekurangan personil atau pas lagi banyak yg boking gak tau...terima kasih...,sangat membantucuma kurang sdikitdisaat buru buruterkadang lama dapat drivermungkin sj kurang personil pas banyak yang boking tidak tauterima kasih
adalah pokoknya,Gojek,1,2026-04-21 11:42:14,lama nunggu yang antar ada 1 jam gofood sekalian gak enak lagi ada setengah jam nungguin makanan nya keburu dingin tu makanan,lama nunggu antar jam go food sekali tidak enak ada tengah jam nungguin makan nya keburu dingin tu makan
Damus Aji,Gojek,1,2026-04-21 11:36:31,"Jek kenapa driver semakin digencet,digelas2 terus ongkir tuh gak si kuning mampu menyedot para cs 2 ijo kalau ngebati boleh jek kira2 lihat dilapangan fakta dilapangan kuning jg Food nya sudah berjalan buat para pemakai online yg ongkir murah jek ane wae si sudah ane mainin. gojek udah ongkir mahal potongan semakin gede ke dreper biaya oprasional di jalan malah di keruk abis pelanggan gojek kabur",jek pengemudi makin digencetdigelas terus ongkir itu tidak si kuning mampu sedot cs ijo kalau ngebati jek kira lihat lapang fakta lapang kuning juga food nya jalan buat pakai online yang ongkir murah jek ane wae si ane mainin gojek sudah ongkir mahal potong makin gede dreper biaya oprasional jalan malah keruk abis langgan gojek kabur
Rizkajml Jml,Gojek,3,2026-04-21 11:33:40,Lumayan,lumayan
Nonia Haya Agrian,Gojek,5,2026-04-21 11:27:59,oke banget,baik banget
Mauludi Alghifarie,Gojek,1,2026-04-21 11:27:27,SUSAH DAPAT KENDARAAN,susah kendara
Bambang Dwi,Gojek,1,2026-04-21 11:26:56,"makin kesini makin gak jelas dapat nyari driver susah minta ampun apalagi hujam dikit aja driver-drivernya pada gak mau ambil sekalinya dapat driver tidak bergerak, sama jangan coba2 pakai gocar hemat driver pada gak mau ambil, tolong diperbaiki dalam pemilihan kualitas driver driver gocar sekarang pilih2 jelek kualitasnya",makin kesini makin tidak jelas nyari pengemudi susah minta ampun hujam dikit aja driverdrivernya tidak mau ambil sekali pengemudi gerak sama jangan coba pakai go car hemat pengemudi tidak mau ambil baik pilih kualitas pengemudi pengemudi go car sekarang pilih jelek kualitas
Suwarto Peruri,Gojek,5,2026-04-21 11:12:26,mantap,mantap
ika nurjayanti,Gojek,1,2026-04-21 11:10:43,parah banget giliran pake gopay gak ada driver yg mau menerima order apalagi kalo paket hemat gak semua bisa pake apk business profil,parah banget gilir pakai gopay tidak pengemudi yang mau terima pesan kalo paket hemat tidak semua pakai apk business profil
Galau Bgt,Gojek,5,2026-04-21 11:10:18,"sangat membantu sekali ,sikap dan pelayanan baik",sangat bantu sekali sikap layan baik
Muchtar Habib,Gojek,1,2026-04-21 11:08:25,"sekarang klw pesan gofood lama sekali dan tidak bisa dibatalin. padahal resto nyiapinnya setelah dapat driver. harusnya klw blm dpt driver bisa dibatalin. payah lah sekarang ini. tarifnya naik, tapi pelayanan tidak dinaikkan dan malah cenderung lebih jelek.👎👎👎👎",sekarang klw pesan go food lama sekali dibatalin padahal resto nyiapinnya dapat pengemudi harus klw belum dpt pengemudi dibatalin payah lah sekarang tarif naik layan tidak naik malah cenderung lebih jelek
Lila Anggraini,Gojek,5,2026-04-21 11:02:12,sangat bermanfaat,sangat manfaat
Yandi Herdiansyah,Gojek,5,2026-04-21 11:01:23,mantap .terima kasih. pelayanannya oke sekali.,mantap terima kasih layan baik sekali
Siti Ramadani,Gojek,5,2026-04-21 11:01:20,aplikasi ini sangat bagus,aplikasi sangat bagus
Alis Niyoosha,Gojek,5,2026-04-21 10:59:40,Sangat membantu,sangat bantu
Aghnia Nurul Ilmi Zavi,Gojek,3,2026-04-21 10:56:54,"Pelayanannya standarlah, tepat waktu aman aman aja. Terus banyak yang plinplan, helm dari gojek g nyaman. Diharapkan helmnya coba ganti model ya",layan standar tepat waktu aman aman aja terus banyak plinplan helm gojek g nyaman harap helm coba ganti model
Rani Chainurahmi,Gojek,1,2026-04-21 10:37:58,gk bs diunduh aplikasi gojek,tidak bs unduh aplikasi gojek
Muhammad Sukri,Gojek,5,2026-04-21 10:33:44,selalu dijemput cepat dan banyak discount,selalu jemput cepat banyak discount
18. Nia Dewi,Gojek,1,2026-04-21 10:24:35,gatau ga mood lama banget pdhl udah pake yg mahal,gatau tidak mood lama banget pdhl sudah pakai yang mahal
Park Chanyeol,Gojek,1,2026-04-21 10:24:04,UDAH ORDER GOFOOD TERUS GAK DAPET DRIVER KITA SURUH NUNGGU LAMA SAMPAI WAKTU EKTIMASI HABIS BARU BISA D CANCEL...KENAPA HARUS NUNGGU LAMA DULU BARU BISA CANCEL!,sudah pesan go food terus tidak dapet pengemudi suruh nunggu lama waktu ektimasi habis baru d cancelkenapa nunggu lama dulu baru cancel
Maddie Peterson,Gojek,1,2026-04-21 09:44:21,penerimaan orderan lama buangetttttttt pdhl udh orderan yg harganya tinggi,terima pesan lama buangetttttttt pdhl sudah pesan yang harga tinggi
