userName,score,at,content,app
Arjuna Shop,5,2026-04-22 04:47:33,Baguus pelayanan nya. gojek sgt bermanfaat dan membantu saya. Terimakasih yaa,Gojek
Nailyn Insyroh,4,2026-04-22 04:45:40,ada gojek mudah mles kluar rmh di tngah terikny mthari gjekin ja.slesai,Gojek
Slamet,1,2026-04-22 04:45:20,aplikasi ga bisa di andelin,Gojek
Ir. I Wayan Gomudha. MT.,5,2026-04-22 04:41:06,"Waktu jemput baik, kualitas kendaraan kurang perawatan....",Gojek
Tohari Jabe,1,2026-04-22 04:29:31,"aplikator kabar nya tidak mau bakar duit tapi bakar duit driver, promosi diskon dari para mitra driver dan resto, pesan gofood harganya mahal, ongkir juga mahal, apalagi akal akal an mode hemat , reguler,dan Flass/ekspres, padahal driver sama saja, bedanya cuma di pencarian driver oleh aplikator,kalo pake hemat di tahan lama tidak di kasih driver buat nunggu di dobel orderannya,kalo ekspres langsung dapet driver tapi lalo resto lama ya sampai tetap lama karena cuma modus gojek saja nyari untung",Gojek
Code Name Da Vinci,1,2026-04-22 04:20:15,"setelah bertahun-tahun menggunaka gojek akhirnya saya putuskan untuk tidak pakai lagi, karna banyak driver yang ngatur customer dan pengalaman² tidak menyenangkan lainya thank u gojek",Gojek
Isabella129 Bella :3,5,2026-04-22 04:19:25,keren,Gojek
Ajat Sudrajat,5,2026-04-22 04:06:51,ok,Gojek
Rosma Mila,5,2026-04-22 04:05:02,"ganti akun, bikin akun, mau beli apa jg ok . gampang gk ribet.. pokok nya joss pisa,, driver nya ada di mna² mau hujan mau banjir di usahakan ada terus buat layanin customer nya🥰🥰",Gojek
Choiriyah 06,5,2026-04-22 04:03:27,recommended,Gojek
Musleh Musleh,5,2026-04-22 03:41:06,murah dan drever nya ramah,Gojek
Wawan Julianto,5,2026-04-22 03:39:23,bagus,Gojek
Devi Indriyani,1,2026-04-22 03:26:54,"butut, mentang2 order yang murah driver pada ga ada jawaban. udh 5 driver. pdahal pake yang murahpun saya suka kasih lebih",Gojek
vanda vanda,1,2026-04-22 03:20:46,"banyak drever yang mengeluh karna banyak kebijakan"" aplikator yang merugikan drever contoh program hemat gacor dan selot dan aceng,",Gojek
dwi Wahyudinarno,1,2026-04-22 02:51:51,"pembayarannya masih pakai gopay , pembayaran tunai dan qris tidak diterima di aplikasi ini , sedangkan saya gak bisa pesen pakai gopay kadang lupa isi saldo gopaynya aq",Gojek
Ibrahim Hasan Mufti,5,2026-04-22 02:40:09,madeppp,Gojek
06. Aulia Nur Fathima Azzahra,3,2026-04-22 02:22:55,ini kapan gojek ngadain fitur kirim gambar lagi? pas itu ada tapi ilang lagi. kenapa sih diilangin mulu. ribet harus buka laptop buat fotoin patokan,Gojek
Rully Regar,5,2026-04-22 02:22:48,Dijemput tepat waktu dan bila tidak ada konfirmasi dari driver,Gojek
Mustika mumus,5,2026-04-22 02:16:23,sangat membantu . terimakasih,Gojek
Waisul Alqurni,5,2026-04-22 02:12:08,sangat membantu,Gojek
Santi Hani mulyani Santi,5,2026-04-22 01:47:08,pelayanan cepat,Gojek
Khairunnisa Dini,5,2026-04-22 01:42:15,aman dn cepat,Gojek
Dani Iswanto,5,2026-04-22 01:30:45,good,Gojek
M Rohim,5,2026-04-22 01:04:34,nyaman dn cepat penjemputan,Gojek
Ronih,5,2026-04-22 01:03:58,Ok deh gan mantap barang ya makasih banyak gan mantap barang ya,Gojek
agung hamonangan,1,2026-04-22 01:00:27,"pendiri korup, ongkos korup, aduh",Gojek
zaenal arifin,5,2026-04-22 00:40:49,"Pakai sejak 2015,,,,",Gojek
risa marisa,5,2026-04-22 00:27:55,mantab,Gojek
Ambar Saraswati,1,2026-04-22 00:19:57,untuk pembayaran udh pake gopay tpi pas udh selesai.a tau2.a mlh pake cash udah gitu mau di ganti ke gopay gk bisa2 ini apk.a lgi kenapa dah,Gojek
otniel sinaga,1,2026-04-22 00:19:01,tidak ada penalti driver seenaknya PHP penumpang dan tolong ada sistem disiplin driver seenaknya batalkan pesanan,Gojek
DennyS,1,2026-04-22 00:09:10,map driver & customers berbeda.saat penjemputan & pengantaran dikasih jalur yang memutar jadi lebih jauh.map berubah ubah..,Gojek
keisyaa Syaaa,5,2026-04-21 23:59:09,banyak diskonn!!!,Gojek
Sukenti Sukenti,5,2026-04-21 23:49:50,gojek ok,Gojek
Prasetya Wijaya,5,2026-04-21 23:21:50,Tepat waktu dan aman sampai tujuan,Gojek
Syamsul Hadi,1,2026-04-21 23:03:32,makin songong,Gojek
17 Izalana Ikfina Dina Kamila,1,2026-04-21 23:02:54,Susah banget dapet gojek pagi pagi udah nyari setengah jam tetep gk dapet dapet pafahal harus berangkat pagi karna ada tka dan tkad malah yang pas hari ujian itu gk dapet gojek jadi sering telat ke sekolah.,Gojek
Nur Idham,5,2026-04-21 22:38:27,sangat baik,Gojek
abdul gafurBerau,5,2026-04-21 22:32:44,"Gojek sudah Banyak Membantu dalam perkembangan usaha saya, terima kasih",Gojek
Ullin Nuriana,5,2026-04-21 20:59:11,cepat,Gojek
Budi Rewes,5,2026-04-21 20:16:55,sangat membantu,Gojek
Satya Dava,1,2026-04-21 19:52:39,toko sering tutup tengah malem tetapi pesanan sedang di proses jadi driver gabisa ambil dan pesanan susah di batalkan.,Gojek
Maulana,4,2026-04-21 19:50:35,boleh.....di coba akses pasti sukses,Gojek
Muhamad irfan Fadila efendi,1,2026-04-21 19:33:13,"ngapain iklan Mulu di aplikasi lain,ganggu banget",Gojek
ranger tepur,5,2026-04-21 19:06:05,ok,Gojek
Naemi Yasushi,5,2026-04-21 19:00:19,enak banget ya,Gojek
Tri Anto,5,2026-04-21 17:15:42,good job 👍,Gojek
Suanti Tjan,3,2026-04-21 16:28:38,sy login gojek kok tak bisa ya tak ada di ksh kode otp nya dlu sy login pki redmi tapi sekarang sy login pki hp samsung A55 tolong di rubah segera kasih info nya ngimna bisa login biar sy bisa segera pki gojek nya,Gojek
Pendie RMJ,5,2026-04-21 16:28:07,oke sangat membantu banget,Gojek
Aiisah Titi,4,2026-04-21 16:08:48,lumayan bagus,Gojek
Budy Satriyo,5,2026-04-21 16:01:30,AMAN SENTOSA,Gojek
Wahyudwi Reyza,5,2026-04-21 15:48:00,mNtap,Gojek
Haven Drevanor,1,2026-04-21 15:40:59,makin susah dapat driver padahal ga pake hemat,Gojek
Bang Sena,5,2026-04-21 15:38:23,mantap,Gojek
Nurannisa Arifin,5,2026-04-21 15:35:27,sangat membantu aku yang sangat kerepotan dengan anak bayi dua tdk bs kemana2 dengan adanya gojek perutku tak pernah kosong😎😁,Gojek
nuridho 1981,5,2026-04-21 15:06:51,its so help...,Gojek
belum ada judul cileungsi,2,2026-04-21 14:38:07,"kasihan driver nya,saya bayar 50000 tapi driver dapat bersih 25000 sisa potongan gede banget gojek makannya",Gojek
Ferry Ansyah (Kribo aje),1,2026-04-21 14:24:59,"makin kesini makin keliatan jelas sistem dajal lu,rakus driver&keluarga ny makin ditindas",Gojek
Mukayat Kayat,5,2026-04-21 14:21:30,bagus,Gojek
Debi Miladiah,5,2026-04-21 14:18:28,puas,Gojek
Integral Ridwan,1,2026-04-21 14:17:52,"driver bisa lihat rating yg diberikan oleh customer dan juga dia bisa memberikan rating kepada customer, heh bungg.. tolong dong buat customer jg bisa lihat ratingnya yg diberikan oleh driver jgn hanya sepihak!! update itu tambahin upload foto & video untuk rating makanan gofood. minta update doang gak ada perubahan, tuh biaya jasa aplikasi buat apaan?",Gojek
Reva Calista N.,4,2026-04-21 14:14:11,"aku suka gojek, sangat membantu aku untuk pergi², sayang gojek😆💚💚",Gojek
Hn Hn,1,2026-04-21 14:06:02,"ketemu driver g jelas sini order udah bayar lunas kirim makanan g hati2 padahal cuma 1 kresek besar endingnya jatuh semua, kyk sampah tolong drivernya d training lg yg bener",Gojek
Fanny Vita,5,2026-04-21 14:02:41,👍,Gojek
Doit Cepean,5,2026-04-21 13:44:08,ok,Gojek
Nasya. Rayhana,5,2026-04-21 13:34:49,mantablah pakai gojek,Gojek
Alin nabila,3,2026-04-21 13:24:09,aku kasih bintang 3 untuk smentara karena kalo misalkan abis ujan suka lama banget nyaut ke gojeknya,Gojek
Paulus SS,2,2026-04-21 13:21:34,"kenapa ada 2 verifikasi.. (nomer hp dan email) jadi nggak bisa login di akun gojek, krn email sdh ganti..! sdh kirim email buat cari solusi...nggak dibalas..!!",Gojek
Jainuri Rendy,5,2026-04-21 13:07:49,tepat waktu,Gojek
TRIS YANTO,5,2026-04-21 12:56:07,semoga jadi lebih mudah,Gojek
berliana pardede,1,2026-04-21 12:50:48,"mohon maaf sebesar besarnya tetapi mohon ya bagi orang orang yg kyk gini,aku udh mesen gojek tetapi gojeknya gk sampai sampai padahal udh nunggu hampir tigapuluan menit,mohon ditegur atau dimarahi sekian terimakasih",Gojek
Komaruddin Ruddin,5,2026-04-21 12:45:19,mantap 👍,Gojek
Faris Dwi Kurniawan,1,2026-04-21 12:36:03,kebanyakan ambil untung,Gojek
Gar Njn,5,2026-04-21 12:25:48,sangat bagus,Gojek
A S,2,2026-04-21 12:11:08,"Untuk driver motor tidak ada masalah gercep,hanya untuk driver gocar sangat tidak rekomendasi. Gofood reguler biaya mahal dobel order pula.",Gojek
Ahmad Darhabi,5,2026-04-21 12:10:29,👌🏻,Gojek
Pakde Bedjo,5,2026-04-21 12:07:50,sangat membantu...cuma ada kekurangan sdikit..disaat buru buru...terkadang agak lama dapatnya driver...mungkin sj kekurangan personil atau pas lagi banyak yg boking gak tau...terima kasih...,Gojek
adalah pokoknya,1,2026-04-21 11:42:14,lama nunggu yang antar ada 1 jam gofood sekalian gak enak lagi ada setengah jam nungguin makanan nya keburu dingin tu makanan,Gojek
Damus Aji,1,2026-04-21 11:36:31,"Jek kenapa driver semakin digencet,digelas2 terus ongkir tuh gak si kuning mampu menyedot para cs 2 ijo kalau ngebati boleh jek kira2 lihat dilapangan fakta dilapangan kuning jg Food nya sudah berjalan buat para pemakai online yg ongkir murah jek ane wae si sudah ane mainin. gojek udah ongkir mahal potongan semakin gede ke dreper biaya oprasional di jalan malah di keruk abis pelanggan gojek kabur",Gojek
Rizkajml Jml,3,2026-04-21 11:33:40,Lumayan,Gojek
Nonia Haya Agrian,5,2026-04-21 11:27:59,oke banget,Gojek
Mauludi Alghifarie,1,2026-04-21 11:27:27,SUSAH DAPAT KENDARAAN,Gojek
Bambang Dwi,1,2026-04-21 11:26:56,"makin kesini makin gak jelas dapat nyari driver susah minta ampun apalagi hujam dikit aja driver-drivernya pada gak mau ambil sekalinya dapat driver tidak bergerak, sama jangan coba2 pakai gocar hemat driver pada gak mau ambil, tolong diperbaiki dalam pemilihan kualitas driver driver gocar sekarang pilih2 jelek kualitasnya",Gojek
Richi Chow,5,2026-04-21 11:21:50,bagus,Gojek
Hafidz 09,5,2026-04-21 11:16:49,good,Gojek
Suwarto Peruri,5,2026-04-21 11:12:26,mantap,Gojek
ika nurjayanti,1,2026-04-21 11:10:43,parah banget giliran pake gopay gak ada driver yg mau menerima order apalagi kalo paket hemat gak semua bisa pake apk business profil,Gojek
Galau Bgt,5,2026-04-21 11:10:18,"sangat membantu sekali ,sikap dan pelayanan baik",Gojek
Muchtar Habib,1,2026-04-21 11:08:25,"sekarang klw pesan gofood lama sekali dan tidak bisa dibatalin. padahal resto nyiapinnya setelah dapat driver. harusnya klw blm dpt driver bisa dibatalin. payah lah sekarang ini. tarifnya naik, tapi pelayanan tidak dinaikkan dan malah cenderung lebih jelek.👎👎👎👎",Gojek
Lila Anggraini,5,2026-04-21 11:02:12,sangat bermanfaat,Gojek
Yandi Herdiansyah,5,2026-04-21 11:01:23,mantap .terima kasih. pelayanannya oke sekali.,Gojek
Siti Ramadani,5,2026-04-21 11:01:20,aplikasi ini sangat bagus,Gojek
Alis Niyoosha,5,2026-04-21 10:59:40,Sangat membantu,Gojek
Aghnia Nurul Ilmi Zavi,3,2026-04-21 10:56:54,"Pelayanannya standarlah, tepat waktu aman aman aja. Terus banyak yang plinplan, helm dari gojek g nyaman. Diharapkan helmnya coba ganti model ya",Gojek
riki pratama,5,2026-04-21 10:50:51,ok,Gojek
Rani Chainurahmi,1,2026-04-21 10:37:58,gk bs diunduh aplikasi gojek,Gojek
Muhammad Sukri,5,2026-04-21 10:33:44,selalu dijemput cepat dan banyak discount,Gojek
18. Nia Dewi,1,2026-04-21 10:24:35,gatau ga mood lama banget pdhl udah pake yg mahal,Gojek
Park Chanyeol,1,2026-04-21 10:24:04,UDAH ORDER GOFOOD TERUS GAK DAPET DRIVER KITA SURUH NUNGGU LAMA SAMPAI WAKTU EKTIMASI HABIS BARU BISA D CANCEL...KENAPA HARUS NUNGGU LAMA DULU BARU BISA CANCEL!,Gojek
Ade Irwan Saputra,5,2026-04-21 09:46:32,oke,Gojek
Maddie Peterson,1,2026-04-21 09:44:21,penerimaan orderan lama buangetttttttt pdhl udh orderan yg harganya tinggi,Gojek
Siti Kusmilah,5,2026-04-21 09:38:39,membantu klw bisa ongkir nya di kurangi🙏🏻🙏🏻,Gojek
Erik Prasongko,5,2026-04-21 09:34:02,baik murah,Gojek
Rudyanto,1,2026-04-21 09:24:19,"yang bener buat aplikasi, orang pesen 1 datengnya smpe 3x mending yang di pesen murah gpp, ini yg di pesen mahal",Gojek
Putuheriverdiawan,4,2026-04-21 09:16:45,ok,Gojek
Marolop Silalahi,5,2026-04-21 09:09:10,mantap,Gojek
zaa,4,2026-04-21 09:06:27,saran bikin aplikasi gofood sendiri biar yang tujuannya pake gojek cuma buat pesen mkan gaperlu ngehabisin terlalu banyak memori,Gojek
Siti Nurlaila,5,2026-04-21 08:52:53,👍👍👍,Gojek
Iffa Atfia,1,2026-04-21 08:25:26,driver manja gamau anter masuk mall padahal saya kasih uang parkir tolong perbaiki sistemnya ya saya gaakan rekomen gojek ke semua orang kalau msih kaya gini,Gojek
Agus Riyanto,5,2026-04-21 08:21:05,oke,Gojek
Suheli Mana,5,2026-04-21 08:20:15,cepat dan nyaman diperjalanan,Gojek
nami,1,2026-04-21 08:09:04,gajelas drivernya,Gojek
Yeong Hon,1,2026-04-21 08:05:44,"setiap go food pakai gopay selalu di lambat lambatin,,,, sampek nunggu 3 jam",Gojek
Reza Permana,5,2026-04-21 07:43:01,cakeppppp dapat membantu pekerjaan orang,Gojek
Heru Khaeruddin,3,2026-04-21 07:40:23,"sekarang driver pada seenaknya cancel pesanan, padahal udah nunggu lama, emang gada sangsi atau apa gitu?",Gojek
Oka Ravael,5,2026-04-21 07:38:53,just 5 star!,Gojek
Arkaan Muzakki,5,2026-04-21 07:31:15,Coba dulu....,Gojek
Isma Yanti,5,2026-04-21 07:29:42,bagus gampang bnget,Gojek
doyokk Doyok,5,2026-04-21 07:28:23,banyakin ptomonya,Gojek
Khurielyyy Yyy,5,2026-04-21 07:26:39,game bolak balok kok kaga ada bang,Gojek
Fauzan Bae,5,2026-04-21 07:22:39,"saya udah pake apk gojek lebih dari 3th apk ini bagus ,driver 99% ramah,sopan dan profesional 🤩",Gojek
Ina,5,2026-04-21 07:13:12,sangat membantu,Gojek
Oni Abdul Ghoni,1,2026-04-21 07:01:57,"Gak punya hati sama sekali n gak punya otak sama sekali. klo ada masalah, yg jawab Robot mesin. jd gak pernah ada solusi jawaban nya itu terus mau qta tanya ribuan kali, jawaban nya tetep sama. Robot semuanya",Gojek
Solihin Bali,5,2026-04-21 07:00:03,kerenlah mantaf semangatt,Gojek
rais harira ggs,5,2026-04-21 06:58:10,harga tersangka murah dan wort it driver nya ramah dan pelayanan nya oke sih,Gojek
Anton Mahesa,5,2026-04-21 06:54:07,ok,Gojek
Roy Jakun,5,2026-04-21 06:49:25,Senang sekali pakai aplikasi gojek,Gojek
Sedyo Rahmat,2,2026-04-21 06:44:06,"saya salah transfer tapi nggak juga ditanggapi dan saldo tidak kembali, padahal nomer yang saya transfer udah nggak aktif",Gojek
Lumen christi,4,2026-04-21 06:36:31,tepat waktu dan menyenangkan,Gojek
Zhang Wen 张雯,5,2026-04-21 06:36:21,Nice,Gojek
Asep Bonne,5,2026-04-21 06:34:17,murah dan cepat,Gojek
Reyan B,5,2026-04-21 06:29:14,guud,Gojek
dy89 Wiliam,5,2026-04-21 06:15:43,mantap,Gojek
mahirensyah hirz,5,2026-04-21 06:12:32,ok,Gojek
Zaldi Aditama,3,2026-04-21 06:09:30,"susah dapet drivernya , sekalinya dapet jauh banget",Gojek
Arif Eko,5,2026-04-21 06:04:36,ok,Gojek
atika Sella,2,2026-04-21 05:51:49,"cape kali lihtnya ya, asal dapat pda jauh semua dah gitu gak gerak"" lagi pas dh di pesan cape nunggu nya tolong dong gmna ni, bolak balik saya batalin jadiny",Gojek
arifin refila,5,2026-04-21 05:41:31,amanah,Gojek
Hendra Tagap,5,2026-04-21 05:41:04,on time dan kendaraan bersih,Gojek
Wahyu Wilda Firmansyah,5,2026-04-21 05:33:01,Mantap lumayan,Gojek
Adisty Adisty,1,2026-04-21 05:21:02,"jelekk bgt asal buka aplikasi gojekkkkk gada sinyalllllll , parahhhhhhh",Gojek
Herry Sun,5,2026-04-21 05:14:31,Menyenangkan,Gojek
Gavina Gavina,5,2026-04-21 05:13:07,baik,Gojek
Rusli Helly,5,2026-04-21 04:58:53,sangat membantu,Gojek
BATIEX MADREAM CANNEL,5,2026-04-21 04:55:58,sangat membantu,Gojek
Trisna andre,5,2026-04-21 04:37:08,apk ini sangat bagus buat orang yg mageran masak/beli makanan diluar kaya aku.,Gojek
Alwiyahya 74,4,2026-04-21 04:35:31,"Min, minta tolong dong sediain opsi pembayaran pakai QRIS🙏🏻🙏🏻",Gojek
Firman Arif,5,2026-04-21 04:34:22,baik pelayanannya,Gojek
Dika Anjasmara,5,2026-04-21 04:30:08,jos,Gojek
Maria Cendrawati,5,2026-04-21 04:07:17,cepat,Gojek
Citra Simanjuntak,5,2026-04-21 04:06:01,senang bersama gojek,Gojek
Al ghifari arisha,5,2026-04-21 04:01:14,oke,Gojek
Nur Sarjono,1,2026-04-21 03:24:05,saya mau daftar akun tp otp yg dikirim kok salah terus y??,Gojek
Gunawan Budi Santoso,5,2026-04-21 03:19:28,sangat membantu,Gojek
Rasyad Sabilir,5,2026-04-21 03:11:35,mantap,Gojek
Daeng Pallawa gau,5,2026-04-21 02:46:32,sopn dan rama full...,Gojek
N1KA,1,2026-04-21 02:05:09,gak bisa lihat lokasi driver sekarang. gimana kalau makanan di kasih sesuatu?,Gojek
Sheira Ananda Darmawan,1,2026-04-21 01:58:59,"go transit sama sekali ga bisa dipake, mohon bantuannya",Gojek
kuban oyen,1,2026-04-21 01:51:48,susah dapat driver di daerah ku 🥲,Gojek
xiaomi note4,5,2026-04-21 01:40:05,pelayanannya sangat bagus.. terimakasih,Gojek
muhamad wahyudi,5,2026-04-21 01:39:41,yes oke bagus baik essipp,Gojek
Nelly Putriharjo,5,2026-04-21 01:28:20,baguss,Gojek
MR KHAISAR,5,2026-04-21 01:26:14,mantap,Gojek
feldy maulana,3,2026-04-21 01:18:17,"Tolong dong untuk pemesanan Gofood, padahal di restoran buka, tapi kok di Apps tutup, yang sesuai dong antara di fisik dan di Apps, masa resto buka tapi di Apps tutup",Gojek
Haruna Hinata,5,2026-04-21 01:09:18,gokil,Gojek
Agung Budiutomo,5,2026-04-21 00:29:01,baik,Gojek
Eka,5,2026-04-21 00:16:36,"Sangat bermanfaat saat di area kota, mau kemana aja bisa, kuncinya 1 punya uang 😂",Gojek
Iis Iis,5,2026-04-21 00:15:55,"cepat, sangat baik",Gojek
