userName,score,at,content,app
Indra Lesmana,5,2026-04-21 06:51:09,Bagus Sih dengan Promo promo nya,Grab
Andhikaa Dika,5,2026-04-21 06:39:00,membantu,Grab
Ricky Lisnha,1,2026-04-21 06:37:20,"lemot,GK bisa gercep,",Grab
taufan wijaya,1,2026-04-21 06:36:18,aplikasi gak guna..sering trobel..hapus saja..,Grab
yoga setiabudi,1,2026-04-21 06:31:52,ini kalau outlet food ga mau bikinin makanan diskon ga perlu di tampilin diskonnya udah nunggu sejam ga di bikinin malah ganti driver aneh banget,Grab
man 1212,3,2026-04-21 06:06:16,"Susah dapat driver untuk grab express,ga hujan ga badai tapi bukan main lama dapat driver",Grab
nurul huda,1,2026-04-21 05:58:22,Tolong dong tampilanya yang enak gitu lo. kayak maxim. maps cuman kecil tampilanya susah zoom. masih selipin iklan lagi. Pake maxim dulu sekarang lagian harganya sekarang sama kadang murah maxim. apalagi kalo mendung grab mahal banget.,Grab
Andi Nurlina,5,2026-04-21 05:39:58,Aplikasi GrabCar Mantap,Grab
Rahmi Yanti,5,2026-04-21 05:26:51,pertahankan cashback nya ya,Grab
Nurini Nuri,1,2026-04-21 05:26:37,bad,Grab
Si Nur,5,2026-04-21 04:19:48,baik,Grab
Tias Novika,1,2026-04-21 04:12:06,"Driver grab car sering cancle, berujung sulit dapat driver, padahal mereka yang cancle.",Grab
Cepot Cawokah,1,2026-04-21 03:58:33,kacau map nya alamat lengkap ga muncul di google map grab di google biasa alamat nya muncul kacau sampe harus pesan 3 kali grab berangkat doang,Grab
Aris Handoko,5,2026-04-21 03:24:52,suka sgan pelayanan nya,Grab
pandan wangi,4,2026-04-21 03:20:50,kita coba nanti buat berpergian,Grab
Arisrayyan Arisrayyan,5,2026-04-21 03:07:41,dari dulu pke grb,Grab
Najuwa Turkey,5,2026-04-21 03:00:24,baik,Grab
Tiger Wong,5,2026-04-21 02:51:24,mantapppp ngak susah klo binggung kemana,Grab
Fahry Firmansyah,1,2026-04-21 02:49:14,gajelasss,Grab
Sadis banget,5,2026-04-21 02:18:40,Baa ik,Grab
Saiful,5,2026-04-21 01:42:07,terbaik,Grab
Tirta Hung,2,2026-04-21 01:32:57,"ngebug ato apa, napa dah ada paket unlimited, diskon puas yg 50% itu gk ada, tapi org lain punya ada, tlg solusinya",Grab
Indah Gibran,5,2026-04-21 01:26:18,baik,Grab
Kiman Leo,1,2026-04-21 01:14:51,Grab makin parah.. harga makanan 2x lipat beli ditempat belum lagi kena ongkir. parkir. biaya pesanan. discon 99℅ percuma saja cuma 2000..jangan kan 2000...disc 5000 pun ga bakal belanja .,Grab
Reza Fauzan,5,2026-04-21 01:10:41,oke 👍👍,Grab
Agus S. Djatmiko,5,2026-04-21 00:43:30,good aja deh...,Grab
Adi Firmansyah,4,2026-04-20 23:50:35,makin kesini makin error maps nya..,Grab
Siti Nurhalimah,5,2026-04-20 23:35:25,Sangat mudah,Grab
Ferry,1,2026-04-20 21:24:29,lambat. sangat amat membuang waktu menunggunya,Grab
Win Aditya,1,2026-04-20 20:49:55,dapat driver order food lama. sekali!!!!,Grab
Betrand Zeus,3,2026-04-20 20:41:19,saya pesan es datengnya panas,Grab
Silent Game On,1,2026-04-20 20:31:24,selalu masalah selalu ketika hujan sulit dapat driver,Grab
Dadan Bos,5,2026-04-20 20:13:10,bagus,Grab
Muhammad Dimas,1,2026-04-20 19:50:15,"saya pesan makanan tpi driver yang di tuju untuk nganter nggak dapat"" lawak",Grab
Witanto Altamirano,4,2026-04-20 19:49:13,josss gandos,Grab
ALEX PASKUS,5,2026-04-20 19:25:47,berguna,Grab
MzToprax,1,2026-04-20 18:36:09,tolong lah klo laper jam 1 malam selalu gak ada driver yg ambil,Grab
andi koria,5,2026-04-20 18:28:24,sya login tak boleh kenpe y,Grab
Eko Ilham,5,2026-04-20 17:43:44,ok,Grab
Wildan Alfahri,5,2026-04-20 16:55:53,Bagus,Grab
Indra Kurnia,5,2026-04-20 16:46:03,driver nya ramah dan menyenangkan,Grab
Fahriel :v,1,2026-04-20 16:23:48,"tolong perbaiki itu bug banyak bnget ni masa mau aktifkan ovo something went wrong mulu,kan bloon mau langganan malah dibuat susah",Grab
Jumaedi Saputra,5,2026-04-20 15:57:01,aku suka grab dari dulu,Grab
Rifa Zakiyah,5,2026-04-20 15:36:40,"grab memudahkan banget kalo kemana mana, apalagi tarif nya murah, driver nya rata rata pada baik dan ramah semuaa",Grab
Herry Fitradi,5,2026-04-20 14:51:34,grab food mantap banget jos,Grab
Malik Saputara,1,2026-04-20 14:41:50,sangat buruk hp saya ketinggalan di mobil ini di ambil TDK di kembalikan,Grab
Ucok Bae,1,2026-04-20 14:37:52,GRAB ONGKOS NYA MAHAL,Grab
Faizal Aziz,1,2026-04-20 14:20:18,kadang2 ongkos bikin emosi,Grab
Brav Sengh,1,2026-04-20 13:55:21,MOHON EVALUASI RESTO YANG SUDAH TIDAK BEROPERASI UNTUK PENGHAPUSAN DAFTAR DI APLIKASI AGAR TIDAK MEMBUAT BANYAK ORANG KECEWA!!!!!!!!!!!!!!,Grab
Tio Isi,4,2026-04-20 13:45:57,kenapa sering update padahal tiap sering make,Grab
Davan Hyon,5,2026-04-20 13:12:11,bagus sekali,Grab
Febriana Assis,5,2026-04-20 12:42:53,mantap tpat waktu,Grab
Marjan Sirait,5,2026-04-20 12:17:21,Good job,Grab
Septi Cantik,5,2026-04-20 12:16:30,grab membantu banget,Grab
Agus Mardi,5,2026-04-20 12:14:03,sangat membantu,Grab
22_Riza Fibryastati,5,2026-04-20 11:50:49,respon cepat ramah sesuai pesanan,Grab
Jahzara Zhafira,5,2026-04-20 11:49:04,grab sangat membantu bagi saya yg jarak jauh.makasih,Grab
Barbarian F,1,2026-04-20 11:22:50,"Susah mendapatkan driver akhir-akhir ini tidak seperti sebelum-sebelumnya, pernah pesan driver padahal ketika klik pesan ada driver disekitar tapi yang dapat malah yang di jauh banget. Terakhir untuk pemesanan makanan, jika tidak ada driver yang mengambil lebih dari 15 menit tolong langsung bisa dibatalkan jangan nunggu sejam dulu apalagi ini menyangkut makanan sekarang sangat sudah mendapatkan driver tidak seperti sebelumnya berbeda dengan kompetitor sebelah yang sangatlah mudah",Grab
Linashar Arum,1,2026-04-20 10:41:03,"aplikasi jelek, dikit dikit update trus lama banget updatenya. lagi buru buru mau make malah hrus update",Grab
Ammardewa Tirta,5,2026-04-20 10:26:43,sangat membantu dan mudah di pahami,Grab
Agung Marjanto,1,2026-04-20 10:22:56,norak iklan lu,Grab
Saifur Rohman,5,2026-04-20 10:16:40,Ok,Grab
Suliatul Mufadilah,5,2026-04-20 09:59:05,mantaffff,Grab
Atep jaelani,5,2026-04-20 09:52:37,sangat puas,Grab
Rita Anggraeni,5,2026-04-20 09:41:24,ok,Grab
Muhammad An - Nafri,5,2026-04-20 09:23:44,joss👍,Grab
Faqih Bukhori wijaya,5,2026-04-20 09:20:53,bagus,Grab
Saptini Maryani,5,2026-04-20 09:19:47,kereeen,Grab
Febrian Ali Mustofa,4,2026-04-20 09:12:52,diskonnya kurang banyak,Grab
Maida Paramesti,3,2026-04-20 08:51:18,ongkir mahal,Grab
Niko,1,2026-04-20 08:43:48,aku jadi gbs jemput grgr km y,Grab
YANI YANI,5,2026-04-20 08:33:56,ramah,Grab
Safa Syakira Nur Azkiya,3,2026-04-20 08:29:08,KLO UJAN DPTNY LM BGT COK,Grab
sam son,5,2026-04-20 08:00:09,mntap,Grab
Kayla Kayla Putri Ardian,5,2026-04-20 07:58:07,lengkap murah terpercaya,Grab
Noverda Tando,5,2026-04-20 07:53:52,bagus gampang,Grab
Umar Januar Hafizh,5,2026-04-20 07:42:34,apk mantap,Grab
Siti Hajar hasibuan,5,2026-04-20 07:28:39,baik,Grab
Hendra Wan,5,2026-04-20 07:26:30,😎😍😍,Grab
marullyyy,1,2026-04-20 07:15:14,repot harus verifikasi wajah,Grab
Sri edi,1,2026-04-20 07:09:36,jgn terlalu mahal,Grab
Azizatul Ilmi,1,2026-04-20 06:53:06,"orang buru"", disuruh verifikasi sampe gagal terus👎🏻 dan berakhir telat",Grab
Cyntia Hutagalung,5,2026-04-20 06:49:05,"pelayanan nya bagus, D'bestiii semakin jaya jaya jaya",Grab
Eko Yulianto,4,2026-04-20 06:37:04,good job,Grab
Nurisyam Suryadi,1,2026-04-20 06:16:46,tolong location nya di lerbaiki,Grab
Faatiha Arrahma (Rahma),5,2026-04-20 06:12:30,Alhamdulillah merasa terbantu dengan adanya aplikasi grab,Grab
ibnu Surono,5,2026-04-20 06:04:49,Mantap👍,Grab
Andri Puryanti,5,2026-04-20 05:57:37,mantaf,Grab
Elok Satu,5,2026-04-20 05:54:16,cepat dalam melayani pesanan,Grab
F mld,1,2026-04-20 05:42:50,Terlalu sering disuruh update aplikasi...jadi buang-buang waktu,Grab
Hermawan,5,2026-04-20 05:35:26,pakai grab lebih nyaman,Grab
Azka rizky_24,5,2026-04-20 05:05:57,👍,Grab
Fela Febriyana,5,2026-04-20 04:52:28,mantap,Grab
RAHMANURASIADI DEWANTO,5,2026-04-20 03:49:55,membatu banget,Grab
Rizky Fitrah,4,2026-04-20 03:45:51,🛵🛵🛵💞💞👍🏻👍🏻👍🏻,Grab
Wibowo Herianto,5,2026-04-20 03:39:11,sangat membantu,Grab
Godex King,5,2026-04-20 03:37:49,nyaman dan ramah,Grab
Sar Wanto,5,2026-04-20 03:34:41,puas,Grab
Oppo A6x,4,2026-04-20 03:23:52,mantull,Grab
Kulik Gen,5,2026-04-20 03:15:17,bagus,Grab
Mukhtar Baharuddin,5,2026-04-20 02:56:17,mantap,Grab
Andi Lala,5,2026-04-20 02:43:04,apk mantap sanggat membantu,Grab
Elma Kania,5,2026-04-20 02:29:37,Grab is very convenient for transportation and food delivery. The app is easy to use and the service is reliable. It saves a lot of time.,Grab
Mahesa Media Center,5,2026-04-20 01:57:53,"keren, perbanyak lagi promonya",Grab
Edy Prayitno,5,2026-04-20 01:53:06,oke,Grab
anisa nuraeni,1,2026-04-20 01:47:25,"baru kali ini kecewa sama grab. long short story, sempat pesan grabcar menuju stasiun. tp karna driver lama dan lagi kejar waktu, jd dicancel dan order grab lain. tbtb yg sudah dicancel ini ttp datang, marah2 karna dicancel dan minta pertanggungjawaban berupa uang bensin. setelah membuat laporan via aplikasi grab, malah dikasih kontak driver bukan dibantu menyelesaikan via customer service dr pihak grab. sangat tidak membantu dan membuat keamanan dan kenyamanan terganggu!",Grab
Pipin Supinah,1,2026-04-20 01:39:43,"minta tolong min saya itu kalau order jaraknya jauh kenapa suka d kasih motor Supra dan kadang gk nyaman. Ditambah driver tidak tau jalan alhasil molor sampai 1/2 jam sampainya mohon maaf tapi akhir akhir ini grab mengecewakan menurut saya, semoga segera ada perbaikan terimakasih",Grab
baiqlayon sekar,5,2026-04-20 01:37:34,bagus,Grab
Adeliaputri Lenteng,5,2026-04-20 00:44:00,mantap,Grab
Alfi 888,5,2026-04-20 00:37:13,pelayanan mantab,Grab
Serly Angga,5,2026-04-20 00:31:36,selalu pake ini sekarang makin cangih ada ovopaylaternya juga keren top,Grab
Mahmun Zulkifli,1,2026-04-20 00:28:46,"Driver Grab Medan itu harus tertib berlalu lintas. Saya pagi ini naik grab motor di perempatan Jamin Ginting dibawah fly over Jamin Ginting drivernya terobos lampu merah, sangat mengkhawatirkan.",Grab
Nurlita Octavia,3,2026-04-20 00:23:40,"grab hemat 7k padahal anter nya Deket jaraknya ,cuma bawa bocah SD 2 orang, bnyak bngt yg pilih"" drivernya (jarang ada yg mau bawa 2 org anak kecil dengan argo 7k) maklum lah Klo jarak nya jauh 7k lah ini dkt bgt dr rmh ke sekolah pake nolak"" 😏",Grab
riana Pratiwi,5,2026-04-20 00:00:12,bgus,Grab
Rara Padil,5,2026-04-19 23:56:58,bnyk promo 🙏,Grab
Mahurra_04,1,2026-04-19 23:49:58,buruk,Grab
raihan akbar,4,2026-04-19 23:15:36,"tolong dong klo semisalnya kita mau pesen, sebelum pesen tuh tahu lokasi pengendara nya dulu, jadi kita bisa tau ini jauh apa engga dapet nya, klo jauh bisa ulang atau nyari yg lain, saya setiap mau berangkat suka dapet yg jauh terus, padahal yg deket suka ada",Grab
Nilam Nilam Cahya aini,1,2026-04-19 23:14:02,"bagusan yg dulu, klo skrg susah dpt driver",Grab
Bambang Zulaiha,1,2026-04-19 23:12:00,mahal.....you ingat saya orang kaya ke????,Grab
Ikbal Maulana,2,2026-04-19 23:01:22,ga sesuai aja layanan lama driver pun laamaa kacaw,Grab
Teriyanaa ana,5,2026-04-19 22:58:56,lumayan membantu,Grab
Bcs Elektrik,4,2026-04-19 22:46:12,sangat membantu,Grab
Annie Chang,5,2026-04-19 19:24:15,Very helpfull,Grab
Rizal Effendi,5,2026-04-19 18:23:46,mantap,Grab
Salim Onur,5,2026-04-19 17:47:58,mantap driver nya siaga,Grab
Al fakir,5,2026-04-19 17:39:32,oke,Grab
shaqib haidhar,1,2026-04-19 17:28:00,masa loading truss ni aplikasi mau pesen apaan muter trus..??,Grab
nisa sari,5,2026-04-19 17:17:25,mantap,Grab
Arab,5,2026-04-19 17:05:23,bagus,Grab
Bimo R,1,2026-04-19 16:49:59,balum bisa musuk grab,Grab
Rofi Adi Sopian,5,2026-04-19 16:10:58,sangat baik,Grab
Ika Haerani,2,2026-04-19 16:03:54,kenapa lagi sama grab ini hadohhh masa pas mau masukin kode promo ga bisa gimanasih,Grab
efraim bukit,1,2026-04-19 15:33:50,susah kali nyarik oengemudi,Grab
Cyra Qodry,5,2026-04-19 15:02:11,good,Grab
Dodi Saputra,1,2026-04-19 14:48:51,karna limit turun suka hti ny dia aja jdi ptek masen mkn aj ribet👎👎👎👎👎,Grab
Gunung Kidul,5,2026-04-19 14:27:13,sangat bermanfaat untuk perjalanan jauh,Grab
Keisha Putri,1,2026-04-19 14:14:38,terlalu lama menunggu pesanan di antar.. sampai 1 jam tak jg ada pengemudi.. kita sudah pembayaran non tunai.. di undur lagi 1 jam kemudian.. ini pesan makanan.. bukan paket.. terlalu lama untuk pemesanan makanan ny..,Grab
Rafka Rafardhan,5,2026-04-19 14:05:00,sangat membantu,Grab
Fanny Wullandari05,1,2026-04-19 13:58:57,asli bingung sm aplikasi greb ini gua lg mesen greb food woy tiba tiba akun gua d tangguhkan keluar sendiri ini gimna si aplikasi gua jd kepikiran abng ojek nya kasian d sangka orderan fiktif lg gk jlssssss,Grab
Syahril Latif,5,2026-04-19 13:55:38,Sangat Baik,Grab
Ana Fitria,5,2026-04-19 13:33:44,abangnya ramah,Grab
Hilya Icha,5,2026-04-19 13:32:56,pelayanan baik ramah sabar,Grab
Nurwafiah Hanafie,5,2026-04-19 13:16:25,cepat n dipercaya,Grab
Jefri Sofyan,5,2026-04-19 12:43:18,grab paling top 👌👌👌,Grab
Rudian Sholehudin,1,2026-04-19 12:32:55,"Driver di sekitar banyak, tapi orderan masuk jauh-jauh. Gak ada kerjaan tiap bulan, yang ada cuma iklan makin ngebul. Grab pura-pura update, isinya sampah. Kalian hancurin jadwal mitra, bikin customer frustrasi. Yang penting cuan? Mending tutup aplikasi.",Grab
Wilson oktavianus Pelamonia rumahpasal,5,2026-04-19 12:30:58,bagus,Grab
Wahyu Triono,2,2026-04-19 12:21:37,"sekarang pesan makanan kalau malam baru jam 7 saja sudah susah dpt driver.. apalagi mau bayar pakai Qris..tolonglah pihak management,,,jng terlalu mencekik driver dgn potongan harga yg terlalu besar..mereka juga butuh makan.apalagi di era sulit seperti sekarang ini",Grab
Marwa Ohorella,1,2026-04-19 12:05:32,"buruk, jelek, intinya ga worth it, masa promo gada... kepencet pesan eh gabisa dibatalin, bikin emosi aja nih aplikasi......... mmmmmm.. intinyaaaaaa burukkkkkkkk",Grab
Yuli anto,5,2026-04-19 11:56:03,pelayanan oke,Grab
Irma Ervian,5,2026-04-19 11:02:50,Sangat membantu,Grab
Ikatan Mahasiswa UNG Telaga Biru,5,2026-04-19 10:46:33,"I use Grab 5-6x a week for rides and GrabFood. Live tracking is accurate, customer service responds fast, and promos actually help save money. The map integration is smooth and I love scheduling rides in advance. Most reliable app in Southeast Asia.",Grab
Nova Imut,5,2026-04-19 10:40:21,"grab top bgt,paling banyak diskounnya,sangat mmbantu bgt untuk rajyat ekonomi menengah kebawah, top bgt deh",Grab
Suwardiyanto Yanto,5,2026-04-19 10:30:35,ok,Grab
Duwi Apriandi,5,2026-04-19 10:24:45,sangat baik dan ramah,Grab
Giri Prihantoro,1,2026-04-19 10:23:24,aplikasi ga guna gajelas,Grab
Iyak Nyantut,5,2026-04-19 10:04:33,"Driver baik, ramah",Grab
Muridi Buan,1,2026-04-19 09:47:00,kemarin adeku naik grab mobil trus ngc sengaja hp adekku ketinggalan di mobil grab nya waktu minta tolong untuk mengembalikan hp adek ku driver grab nya malah minta uang tebusan 200 ribu tolong di perhatikan ini ya pihak grab,Grab
Aureza Permana,5,2026-04-19 09:36:22,pelayanan bagus,Grab
Sopian Haji,1,2026-04-19 09:24:00,sangat ribet untuk masuk kalo lupa pin mau pindah pake apk gojek,Grab
Linda Zebua,1,2026-04-19 09:10:20,sangat merugikan untuk driver potongan sangat terlalu besar.,Grab
Fida Nuraulia,2,2026-04-19 08:59:39,"males bgt dapet nya susah, lama lagi",Grab
Nelma W1962,5,2026-04-19 08:44:32,trimakasih,Grab
Errudi Di,5,2026-04-19 08:31:13,bagus .CPT .mantap,Grab
supandi se,5,2026-04-19 08:11:20,Sudah di antar ketujuan Terimakasih Ibu,Grab
Mar Jono,5,2026-04-19 07:58:59,"ok,,best",Grab
Roffi Anatta,3,2026-04-19 07:56:56,"beberapa hal yang harus di perbaiki : 1. update tiba tiba, sering banget tiap pesen grab driver dan di map nya sering stuck, pas di cek harus update. meskipun di playstore udh di aktifkan update apk otomatis. tapi ga ngaruh dan ttp aja harus manual. 2.terkait dapat driver, sering sekali mendapatkan driver yang sangat jauh dari lokasi, sementara driver terdekat dengan kita, yang kebetulan lewat, ga ke hubung. 3.lebih di permudah dalam menentukan alamat kita di suatu tempat.",Grab
Kurniasih Kurniasih,5,2026-04-19 07:33:57,sopir ya ramah,Grab
Ee Brother,5,2026-04-19 07:23:51,baik,Grab
only qeel (Aqeel),1,2026-04-19 07:14:17,"banyak bug nya jelek bgt, percuma ngiklan dimana mana kalau aplikasinya banyak bug",Grab
Harvey Pratama,5,2026-04-19 07:00:28,great app,Grab
Fendy,1,2026-04-19 06:48:22,semakin kesini semakin busuk layanan kalian,Grab
Ahmad Fahroji,5,2026-04-19 06:14:52,tetap utamakan keselamatan dalam berkendara,Grab
Panti Rahayu,5,2026-04-19 06:02:07,👍,Grab
Nur Ali Hidayatullah Official,5,2026-04-19 06:00:28,mntap,Grab
Rino Yohansa Sidabariba,5,2026-04-19 05:30:54,Ok,Grab
Rafie Purnama,5,2026-04-19 05:06:17,good driver,Grab
ENDA Gantina Risa Gunawan,5,2026-04-19 04:55:00,driver sangat baik,Grab
Muhammad Aliman,5,2026-04-19 04:51:31,sangat membantu dalam hal apapun terimakasih,Grab
Hanifah Ifa,4,2026-04-19 04:41:11,sejauh ini masih baik baik saja sih aplikasinya. terima kasih.,Grab
