userName,app,score,at,content,normalized_text
Cucu Hawa,Grab,2,2026-04-22 08:36:23,"buat para driver nih, tolong dong kalau udah ambil orderan jangan main cancel aja,saya udah nunggu lama tinggal 2 menit lagi malah di cancel. Sering banget kaya seperti ini, kalau gak mau ambil kenapa gak dari awal aja gak usah diterima orderannya, kan jadi buang waktu harus nunggu lagi driver yg baru. terus helm untuk penumpang usahakan dicuci kan bekas kepala orang kotor, dan kasih yang ada tutupnya biar kita gak kelilipan.",buat pengemudi ini dong kalau sudah ambil pesan jangan main cancel ajasaya sudah nunggu lama tinggal menit malah cancel sering banget kaya ini kalau tidak mau ambil tidak awal aja tidak usah terima pesan kan jadi buang waktu nunggu pengemudi yang baru terus helm tumpang usaha cuci kan bekas kepala orang kotor kasih ada tutup biar tidak kelilip
Ariful Anwar,Grab,1,2026-04-22 08:32:55,susah banget KLO hujan pesen grab kek g punya driver sering ditolak kejauhan jemputnya,susah banget kalau hujan sen grab kek g punya pengemudi sering tolak jauh jemput
Citra Putri,Grab,3,2026-04-22 07:55:50,"belanja pakai grabmart knp driver hrs pakai mobil sih, kasian driver nya kalo masuk jalan sempit, tolong dikasih opsi dong bisa pilih motor atau mobil",belanja pakai grabmart knp pengemudi harus pakai mobil sih kasi pengemudi nya kalo masuk jalan sempit kasih opsi dong pilih motor mobil
Zakiatul Maulidia,Grab,2,2026-04-22 06:56:38,harus selalu di update kalau mau bisa digunakan,selalu perbarui kalau mau guna
Andika Dimas Syah Putra,Grab,1,2026-04-22 06:45:48,drivernya kebanyakan ngecancel orderan!,drivernya banyak ngecancel pesan
Pipit Nurfitriyati,Grab,5,2026-04-22 06:27:42,sangst berguna,sangst guna
AL NASSR GARIS KERAS,Grab,1,2026-04-22 05:31:49,sangat buruk,sangat buruk
Alza Zefitra,Grab,1,2026-04-22 03:34:04,"tolong dong saat hujan para driver ambil order jangan ga ngambil ada yang namanya jas ujan kan masalah cuman 1 ya saya gprlu pakai juga gpp persediaan untuk cust ini sama sekali ga ada yg ambil oder an daerah surabaya barat, padahal saya cuman deket jarak nya ke tmpt kerja dri jam 9 sampe jam set 11 ga ada driver yang mau ambil pesenan an saya heran.",dong hujan pengemudi ambil pesan jangan tidak ngambil nama jas ujan kan masalah cuman gprlu pakai gpp sedia cust sama sekali tidak yang ambil oder an daerah surabaya barat padahal cuman deket jarak nya tmpt kerja dri jam sampe jam set tidak pengemudi yang mau ambil sen an saya heran
Ridho Zakiy,Grab,1,2026-04-22 02:21:02,"apk autis pesen jastip diubah metode pembayaran ke ovo ada masalah pembayaran,cash ada masalah,gw sampe instal beberapa apk dimetode pembayaran gw relain isi saldo di setiap apk tetep gabisa, aneh gila",apk autis sen jastip ubah metode bayar ovo masalah pembayarancash masalahgw sampe instal beberapa apk metode bayar saya relain isi saldo tiap apk tetep gabisa aneh gila
Muchammad Iqbal,Grab,1,2026-04-22 01:21:58,drivernya parah,drivernya parah
orang baik Helo,Grab,3,2026-04-22 01:19:02,"seperti nya salah di pengemudinya kali ya,grab ini banyak seperti pengemudinya yang ga suka lihat owner pembeli aja malas sih apalagi di medan kota,🤣",nya salah mud kali yagrab banyak mud tidak suka lihat owner beli aja malas sih di medan kota
lucyan feeng,Grab,5,2026-04-22 01:11:45,app nya bagus dan nyaman,aplikasi nya bagus nyaman
Hasri Abdullah,Grab,4,2026-04-22 00:53:43,dilayani dengan baik,layan baik
Marjuki Marjuki,Grab,5,2026-04-22 00:51:29,Alhamdulilah Semoga semua aktivitas nya di mudah kan Aamin YRA.,alhamdulilah moga semua aktivitas nya mudah kan aamin yra
Ahmad Riyadi,Grab,5,2026-04-22 00:08:29,mantap,mantap
Jeanny Holiono,Grab,5,2026-04-21 23:36:47,semoga semakin maju,moga makin maju
I gede darma,Grab,5,2026-04-21 22:07:54,grab sngt bagus,grab sngt bagus
Dini Prasetya,Grab,2,2026-04-21 14:51:24,"Barusan dapet driver yg nganter makanan tapi sangat tidak sopan...baru kali ini dapet driver kaya gitu ..lokasi saya titiknya tidak akurat ada mungkin lebih 50 mter dari titik tersebut dan saya sudah chat drivernya eh malah tidak dibaca...gak lama nyampe depan rumah sambil klakson2 motor bbrpa kali lalu ngobrol ketus banget ,kenapa titiknya tidak akurat? saya jelaskan memang dari aplikasinya tidak bisa ,eh dia malah ngambek padahal kalo driver lain biasanya nelpon dulu atau chat dulu ..",barusan dapet pengemudi yang nganter makan sangat sopanbaru kali dapet pengemudi kaya gitu lokasi titik akurat mungkin lebih mter titik sebut chat drivernya eh malah dibacagak lama nyampe depan rumah klakson motor bbrpa kali lalu ngobrol ketus banget titik akurat saya jelas memang aplikasi bisa eh malah ngambek padahal kalo pengemudi biasa nelpon dulu chat dulu
Roseti Fatimah,Grab,5,2026-04-21 14:30:58,sukses selalu untuk grab,sukses selalu grab
Restu,Grab,1,2026-04-21 14:12:32,lama banget dapetin driver grabfood padahal pake pengantaran prioritas gimana sih grab,lama banget dapetin pengemudi grab food padahal pakai antar prioritas bagaimana sih grab
Yuni Bahar,Grab,5,2026-04-21 13:50:32,bagus.. puas pelayanannya,bagus puas layan
lasmini kusnara,Grab,1,2026-04-21 13:38:17,"ini gimana siii saya gak mesan makarizo, kenapa dikirim terus",bagaimana siii tidak mesan makarizo kirim terus
bapak rakhmat,Grab,5,2026-04-21 12:52:28,mantaf,mantaf
ADI Putra,Grab,5,2026-04-21 12:48:18,sangat cocok,sangat cocok
Dhabex Channel,Grab,1,2026-04-21 12:43:53,parah ini grab . udah minta di upgrade tetap saja gak bisa di gunakan . dasar aneh,parah grab sudah minta upgrade tetap tidak di guna dasar aneh
Welni Sekewael,Grab,1,2026-04-21 12:25:41,grab skrng maunya yang mahal!!! KLO hemat lama kali,grab sekarang mau mahal kalau hemat lama kali
Wiwi Reska,Grab,4,2026-04-21 12:13:12,sy jika pake aplikasi ini jadi mudah memakai nya,saya pakai aplikasi jadi mudah pakai nya
nilz ddun,Grab,1,2026-04-21 12:01:58,"apk tolol,, alamatnya ngaco, gak akurat,,",apk tolol alamat ngaco tidak akurat
ali imron,Grab,2,2026-04-21 11:44:40,"sulit untuk pembayaran, sudah milih pembayaran ttp gak bisa buat pesan makanan..",sulit bayar milih bayar ttp tidak buat pesan makan
奥特曼,Grab,1,2026-04-21 11:19:37,"woy ini app notifnya seberapa banyak dalam sehari, parah, UNINSTALL!!!!!",woy aplikasi notifnya berapa banyak hari parah uninstall
R Win,Grab,1,2026-04-21 11:03:13,"sangat jelek pelayanan di kota wonosobo lempar"" n driver dan makana basah kena air",sangat jelek layan kota wonosobo lempar n pengemudi makana basah kena air
sera della aprilian,Grab,5,2026-04-21 11:01:40,Terbaikk,terbaikk
Hasrif Nova Syahputra,Grab,1,2026-04-21 10:41:05,mohon diperbaiki pelayanannya ya. terkhusus driver,mohon baik layan khusus pengemudi
Gini Suryati,Grab,1,2026-04-21 10:18:48,gak ngapa ngapain malah ditangguhkan aneh,tidak ngapa ngapain malah tangguh aneh
Dwi Febiyanti,Grab,1,2026-04-21 10:12:36,aplikasi menyebalkan selalu kalo pesan makanan susah dapat driver padahal bayar pake ovo .giliran mau di batalkan ga bisa² ga guna,aplikasi sebal selalu kalo pesan makan susah pengemudi padahal bayar pakai ovo gilir mau batal tidak tidak
Maryam Hazrina,Grab,1,2026-04-21 09:49:59,"dengan nggak ada fitur pembatalan di aplikasi rasanya sangat menganggu sekali. 2 jam nunggu makanan nggak sampe sampe. dicancel nggak bisa makanan nggak di anter anter. kalo nggak di anter dan emang nggak bisa di kirim nggak masalah, kalo ternyata dikirim dan saya udah berpindah tempat customer lagi nnt yang salah disangka orderan fiktif.",fitur batal aplikasi rasa sangat menganggu sekali jam nunggu makan sampe sampe dicancel bisa makan anter anter kalo di anter emang bisa di kirim tidak masalah kalo nyata kirim saya sudah pindah tempat customer nnt salah sangka pesan fiktif
Cahaya Gentha,Grab,1,2026-04-21 09:26:46,saya pemakai grab ride area cipanas puncak kecewa dengan pengemudi grab ride yang pilihan pada penumpang ... udah jelas2 saya di depan matanya dia dan saya tau dya yg saya order malah pergi dan memblok saya mentang2 motor bagus ....,pakai grab ride area cipanas puncak kecewa kemudi grab ride pilih tumpang sudah jelas di depan mata tau dya yang pesan malah pergi dan blok mentang motor bagus
Samsul Bahri,Grab,1,2026-04-21 09:02:07,aplikasi lemot pea,aplikasi lot pea
Cecep Anwar,Grab,5,2026-04-21 08:59:15,mantap,mantap
Ahmat Soli,Grab,1,2026-04-21 08:52:27,lambat reaksi kurir nya lambat lelet semua,lambat reaksi kurir nya lambat lelet semua
Putri Alifia,Grab,1,2026-04-21 08:02:36,sekarang kalau cari Drive sulit apalagi pas dibutuhkan,sekarang kalau cari drive sulit pas butuh
roni Sanguan,Grab,5,2026-04-21 07:57:43,mantap,mantap
Hasan Ashari,Grab,5,2026-04-21 07:40:22,cepat tepat mudah,cepat tepat mudah
Saifun Najib,Grab,3,2026-04-21 07:05:29,aneh kadang ni aplikasi suka eror nggak bisa di buka tolong dong min di perbaiki,aneh kadang ni aplikasi suka eror bisa buka dong min baik
Nadzir Bindere,Grab,5,2026-04-21 06:51:57,risolnya enak bngt dan murah. apalagi juga ada es telernya yg enak dan harganya juga murah. pokoknya very interesting. yg jual ramah suka nyapa.,risolnya enak banget murah es teler yang enak harga juga murah pokok very interesting yang jual ramah suka nyapa
Indra Lesmana,Grab,5,2026-04-21 06:51:09,Bagus Sih dengan Promo promo nya,bagus sih promo promo nya
Andhikaa Dika,Grab,5,2026-04-21 06:39:00,membantu,bantu
Ricky Lisnha,Grab,1,2026-04-21 06:37:20,"lemot,GK bisa gercep,",lemotgk gercep
taufan wijaya,Grab,1,2026-04-21 06:36:18,aplikasi gak guna..sering trobel..hapus saja..,aplikasi tidak gunasering trobelhapus
yoga setiabudi,Grab,1,2026-04-21 06:31:52,ini kalau outlet food ga mau bikinin makanan diskon ga perlu di tampilin diskonnya udah nunggu sejam ga di bikinin malah ganti driver aneh banget,kalau outlet food tidak mau bikinin makan diskon tidak perlu tampilin diskon sudah nunggu jam tidak bikinin malah ganti pengemudi aneh banget
man 1212,Grab,3,2026-04-21 06:06:16,"Susah dapat driver untuk grab express,ga hujan ga badai tapi bukan main lama dapat driver",susah pengemudi grab expressga hujan tidak badai bukan main lama pengemudi
nurul huda,Grab,1,2026-04-21 05:58:22,Tolong dong tampilanya yang enak gitu lo. kayak maxim. maps cuman kecil tampilanya susah zoom. masih selipin iklan lagi. Pake maxim dulu sekarang lagian harganya sekarang sama kadang murah maxim. apalagi kalo mendung grab mahal banget.,dong tampilanya enak gitu kamu kayak maxim maps cuman kecil tampilanya susah zoom selipin iklan pakai maxim dulu sekarang lagi harga sekarang sama kadang murah maxim kalo mendung grab mahal banget
Andi Nurlina,Grab,5,2026-04-21 05:39:58,Aplikasi GrabCar Mantap,aplikasi grab car mantap
Rahmi Yanti,Grab,5,2026-04-21 05:26:51,pertahankan cashback nya ya,tahan cashback nya
Tias Novika,Grab,1,2026-04-21 04:12:06,"Driver grab car sering cancle, berujung sulit dapat driver, padahal mereka yang cancle.",pengemudi grab car sering cancle ujung sulit pengemudi padahal yang cancle
Cepot Cawokah,Grab,1,2026-04-21 03:58:33,kacau map nya alamat lengkap ga muncul di google map grab di google biasa alamat nya muncul kacau sampe harus pesan 3 kali grab berangkat doang,kacau map nya alamat lengkap tidak muncul google map grab google biasa alamat nya muncul kacau sampe pesan kali grab berangkat doang
Aris Handoko,Grab,5,2026-04-21 03:24:52,suka sgan pelayanan nya,suka sgan layan nya
pandan wangi,Grab,4,2026-04-21 03:20:50,kita coba nanti buat berpergian,coba buat pergi
Arisrayyan Arisrayyan,Grab,5,2026-04-21 03:07:41,dari dulu pke grb,dulu pke grb
Tiger Wong,Grab,5,2026-04-21 02:51:24,mantapppp ngak susah klo binggung kemana,mantapppp ngak susah kalau binggung
Fahry Firmansyah,Grab,1,2026-04-21 02:49:14,gajelasss,gajelasss
Sadis banget,Grab,5,2026-04-21 02:18:40,Baa ik,baa ik
Saiful,Grab,5,2026-04-21 01:42:07,terbaik,baik
Tirta Hung,Grab,2,2026-04-21 01:32:57,"ngebug ato apa, napa dah ada paket unlimited, diskon puas yg 50% itu gk ada, tapi org lain punya ada, tlg solusinya",ngebug ato apa napa sudah paket unlimited diskon puas yang tidak tapi orang punya tolong solusi
Kiman Leo,Grab,1,2026-04-21 01:14:51,Grab makin parah.. harga makanan 2x lipat beli ditempat belum lagi kena ongkir. parkir. biaya pesanan. discon 99℅ percuma saja cuma 2000..jangan kan 2000...disc 5000 pun ga bakal belanja .,grab makin parah harga makan x lipat beli tempat lagi kena ongkir parkir biaya pesan discon percuma cuma jangan kan disc tidak bakal belanja
Agus S. Djatmiko,Grab,5,2026-04-21 00:43:30,good aja deh...,good aja deh
Adi Firmansyah,Grab,4,2026-04-20 23:50:35,makin kesini makin error maps nya..,makin kesini makin eror maps nya
Siti Nurhalimah,Grab,5,2026-04-20 23:35:25,Sangat mudah,sangat mudah
Ferry,Grab,1,2026-04-20 21:24:29,lambat. sangat amat membuang waktu menunggunya,lambat sangat buang waktu tunggu
Win Aditya,Grab,1,2026-04-20 20:49:55,dapat driver order food lama. sekali!!!!,pengemudi pesan food lama sekali
Betrand Zeus,Grab,3,2026-04-20 20:41:19,saya pesan es datengnya panas,pesan es datengnya panas
Silent Game On,Grab,1,2026-04-20 20:31:24,selalu masalah selalu ketika hujan sulit dapat driver,selalu masalah selalu hujan sulit pengemudi
Muhammad Dimas,Grab,1,2026-04-20 19:50:15,"saya pesan makanan tpi driver yang di tuju untuk nganter nggak dapat"" lawak",pesan makan tpi pengemudi di tuju nganter dapat lawak
Witanto Altamirano,Grab,4,2026-04-20 19:49:13,josss gandos,josss gandos
ALEX PASKUS,Grab,5,2026-04-20 19:25:47,berguna,guna
MzToprax,Grab,1,2026-04-20 18:36:09,tolong lah klo laper jam 1 malam selalu gak ada driver yg ambil,lah kalau laper jam malam selalu tidak pengemudi yang ambil
andi koria,Grab,5,2026-04-20 18:28:24,sya login tak boleh kenpe y,sya login tak kenpe y
Indra Kurnia,Grab,5,2026-04-20 16:46:03,driver nya ramah dan menyenangkan,pengemudi nya ramah senang
Fahriel :v,Grab,1,2026-04-20 16:23:48,"tolong perbaiki itu bug banyak bnget ni masa mau aktifkan ovo something went wrong mulu,kan bloon mau langganan malah dibuat susah",baik bug banyak bnget ni masa mau aktif ovo something went wrong muluk bloon mau langgan malah buat susah
Jumaedi Saputra,Grab,5,2026-04-20 15:57:01,aku suka grab dari dulu,saya suka grab dulu
Rifa Zakiyah,Grab,5,2026-04-20 15:36:40,"grab memudahkan banget kalo kemana mana, apalagi tarif nya murah, driver nya rata rata pada baik dan ramah semuaa",grab mudah banget kalo mana tarif nya murah pengemudi nya rata rata baik ramah semuaa
Herry Fitradi,Grab,5,2026-04-20 14:51:34,grab food mantap banget jos,grab food mantap banget jos
Malik Saputara,Grab,1,2026-04-20 14:41:50,sangat buruk hp saya ketinggalan di mobil ini di ambil TDK di kembalikan,sangat buruk hp tinggal mobil ambil tidak di kembali
Ucok Bae,Grab,1,2026-04-20 14:37:52,GRAB ONGKOS NYA MAHAL,grab ongkos nya mahal
Faizal Aziz,Grab,1,2026-04-20 14:20:18,kadang2 ongkos bikin emosi,kadang ongkos bikin emosi
Brav Sengh,Grab,1,2026-04-20 13:55:21,MOHON EVALUASI RESTO YANG SUDAH TIDAK BEROPERASI UNTUK PENGHAPUSAN DAFTAR DI APLIKASI AGAR TIDAK MEMBUAT BANYAK ORANG KECEWA!!!!!!!!!!!!!!,mohon evaluasi resto sudah operasi hapus daftar aplikasi tidak buat banyak orang kecewa
Tio Isi,Grab,4,2026-04-20 13:45:57,kenapa sering update padahal tiap sering make,sering perbarui padahal tiap sering make
Davan Hyon,Grab,5,2026-04-20 13:12:11,bagus sekali,bagus sekali
Febriana Assis,Grab,5,2026-04-20 12:42:53,mantap tpat waktu,mantap tpat waktu
Marjan Sirait,Grab,5,2026-04-20 12:17:21,Good job,good job
Septi Cantik,Grab,5,2026-04-20 12:16:30,grab membantu banget,grab bantu banget
Agus Mardi,Grab,5,2026-04-20 12:14:03,sangat membantu,sangat bantu
22_Riza Fibryastati,Grab,5,2026-04-20 11:50:49,respon cepat ramah sesuai pesanan,respon cepat ramah sesuai pesan
Jahzara Zhafira,Grab,5,2026-04-20 11:49:04,grab sangat membantu bagi saya yg jarak jauh.makasih,grab sangat bantu saya yang jarak jauhmakasih
Barbarian F,Grab,1,2026-04-20 11:22:50,"Susah mendapatkan driver akhir-akhir ini tidak seperti sebelum-sebelumnya, pernah pesan driver padahal ketika klik pesan ada driver disekitar tapi yang dapat malah yang di jauh banget. Terakhir untuk pemesanan makanan, jika tidak ada driver yang mengambil lebih dari 15 menit tolong langsung bisa dibatalkan jangan nunggu sejam dulu apalagi ini menyangkut makanan sekarang sangat sudah mendapatkan driver tidak seperti sebelumnya berbeda dengan kompetitor sebelah yang sangatlah mudah",susah dapat pengemudi akhirakhir sebelumsebelumnya pernah pesan pengemudi padahal klik pesan pengemudi sekitar malah di jauh banget akhir mesan makan tidak pengemudi ambil lebih menit langsung batal jangan nunggu jam dulu ini sangkut makan sekarang sangat dapat pengemudi tidak seperti belum beda kompetitor belah yang sangat mudah
Linashar Arum,Grab,1,2026-04-20 10:41:03,"aplikasi jelek, dikit dikit update trus lama banget updatenya. lagi buru buru mau make malah hrus update",aplikasi jelek dikit dikit perbarui trus lama banget updatenya buru buru mau make malah hrus perbarui
Ammardewa Tirta,Grab,5,2026-04-20 10:26:43,sangat membantu dan mudah di pahami,sangat bantu mudah paham
Agung Marjanto,Grab,1,2026-04-20 10:22:56,norak iklan lu,norak iklan kamu
Suliatul Mufadilah,Grab,5,2026-04-20 09:59:05,mantaffff,mantaffff
Atep jaelani,Grab,5,2026-04-20 09:52:37,sangat puas,sangat puas
Saptini Maryani,Grab,5,2026-04-20 09:19:47,kereeen,kereeen
Febrian Ali Mustofa,Grab,4,2026-04-20 09:12:52,diskonnya kurang banyak,diskon kurang banyak
Maida Paramesti,Grab,3,2026-04-20 08:51:18,ongkir mahal,ongkir mahal
Niko,Grab,1,2026-04-20 08:43:48,aku jadi gbs jemput grgr km y,saya jadi gbs jemput grgr kamu y
Safa Syakira Nur Azkiya,Grab,3,2026-04-20 08:29:08,KLO UJAN DPTNY LM BGT COK,kalau ujan dptny lm banget cok
Kayla Kayla Putri Ardian,Grab,5,2026-04-20 07:58:07,lengkap murah terpercaya,lengkap murah percaya
Noverda Tando,Grab,5,2026-04-20 07:53:52,bagus gampang,bagus gampang
Umar Januar Hafizh,Grab,5,2026-04-20 07:42:34,apk mantap,apk mantap
marullyyy,Grab,1,2026-04-20 07:15:14,repot harus verifikasi wajah,repot verifikasi wajah
Sri edi,Grab,1,2026-04-20 07:09:36,jgn terlalu mahal,jgn terlalu mahal
Azizatul Ilmi,Grab,1,2026-04-20 06:53:06,"orang buru"", disuruh verifikasi sampe gagal terus👎🏻 dan berakhir telat",orang buru suruh verifikasi sampe gagal terus akhir telat
Cyntia Hutagalung,Grab,5,2026-04-20 06:49:05,"pelayanan nya bagus, D'bestiii semakin jaya jaya jaya",layan nya bagus dbestiii makin jaya jaya jaya
Eko Yulianto,Grab,4,2026-04-20 06:37:04,good job,good job
Nurisyam Suryadi,Grab,1,2026-04-20 06:16:46,tolong location nya di lerbaiki,location nya lerbaiki
Faatiha Arrahma (Rahma),Grab,5,2026-04-20 06:12:30,Alhamdulillah merasa terbantu dengan adanya aplikasi grab,alhamdulillah rasa bantu ada aplikasi grab
ibnu Surono,Grab,5,2026-04-20 06:04:49,Mantap👍,mantap
Andri Puryanti,Grab,5,2026-04-20 05:57:37,mantaf,mantaf
Elok Satu,Grab,5,2026-04-20 05:54:16,cepat dalam melayani pesanan,cepat layan pesan
F mld,Grab,1,2026-04-20 05:42:50,Terlalu sering disuruh update aplikasi...jadi buang-buang waktu,terlalu sering suruh perbarui aplikasijadi buangbuang waktu
Hermawan,Grab,5,2026-04-20 05:35:26,pakai grab lebih nyaman,pakai grab lebih nyaman
Fela Febriyana,Grab,5,2026-04-20 04:52:28,mantap,mantap
RAHMANURASIADI DEWANTO,Grab,5,2026-04-20 03:49:55,membatu banget,batu banget
Wibowo Herianto,Grab,5,2026-04-20 03:39:11,sangat membantu,sangat bantu
Godex King,Grab,5,2026-04-20 03:37:49,nyaman dan ramah,nyaman ramah
Oppo A6x,Grab,4,2026-04-20 03:23:52,mantull,mantull
Mukhtar Baharuddin,Grab,5,2026-04-20 02:56:17,mantap,mantap
Andi Lala,Grab,5,2026-04-20 02:43:04,apk mantap sanggat membantu,apk mantap sanggat bantu
Elma Kania,Grab,5,2026-04-20 02:29:37,Grab is very convenient for transportation and food delivery. The app is easy to use and the service is reliable. It saves a lot of time.,grab is very convenient for transportation and food delivery the aplikasi is easy to use and the service is reliable it saves a lot of time
Mahesa Media Center,Grab,5,2026-04-20 01:57:53,"keren, perbanyak lagi promonya",keren banyak promonya
anisa nuraeni,Grab,1,2026-04-20 01:47:25,"baru kali ini kecewa sama grab. long short story, sempat pesan grabcar menuju stasiun. tp karna driver lama dan lagi kejar waktu, jd dicancel dan order grab lain. tbtb yg sudah dicancel ini ttp datang, marah2 karna dicancel dan minta pertanggungjawaban berupa uang bensin. setelah membuat laporan via aplikasi grab, malah dikasih kontak driver bukan dibantu menyelesaikan via customer service dr pihak grab. sangat tidak membantu dan membuat keamanan dan kenyamanan terganggu!",baru kali kecewa sama grab long short story sempat pesan grab car tuju stasiun tapi karena pengemudi lama lagi kejar waktu jd dicancel pesan grab tbtb yang dicancel ttp datang marah karena dicancel minta pertanggungjawaban upa uang bensin buat lapor via aplikasi grab malah kasih kontak pengemudi bukan bantu selesai via customer service dari pihak grab sangat bantu buat aman nyaman ganggu
Pipin Supinah,Grab,1,2026-04-20 01:39:43,"minta tolong min saya itu kalau order jaraknya jauh kenapa suka d kasih motor Supra dan kadang gk nyaman. Ditambah driver tidak tau jalan alhasil molor sampai 1/2 jam sampainya mohon maaf tapi akhir akhir ini grab mengecewakan menurut saya, semoga segera ada perbaikan terimakasih",minta min itu kalau pesan jarak jauh suka d kasih motor supra kadang tidak nyaman tambah pengemudi tau jalan alhasil molor jam sampai mohon maaf akhir akhir grab kecewa saya moga segera baik terimakasih
Adeliaputri Lenteng,Grab,5,2026-04-20 00:44:00,mantap,mantap
Alfi 888,Grab,5,2026-04-20 00:37:13,pelayanan mantab,layan mantab
Serly Angga,Grab,5,2026-04-20 00:31:36,selalu pake ini sekarang makin cangih ada ovopaylaternya juga keren top,selalu pakai sekarang makin cangih ovopaylaternya keren top
Mahmun Zulkifli,Grab,1,2026-04-20 00:28:46,"Driver Grab Medan itu harus tertib berlalu lintas. Saya pagi ini naik grab motor di perempatan Jamin Ginting dibawah fly over Jamin Ginting drivernya terobos lampu merah, sangat mengkhawatirkan.",pengemudi grab medan harus tertib lalu lintas pagi naik grab motor empat jamin ginting bawah fly over jamin ginting drivernya terobos lampu merah sangat khawatir
Nurlita Octavia,Grab,3,2026-04-20 00:23:40,"grab hemat 7k padahal anter nya Deket jaraknya ,cuma bawa bocah SD 2 orang, bnyak bngt yg pilih"" drivernya (jarang ada yg mau bawa 2 org anak kecil dengan argo 7k) maklum lah Klo jarak nya jauh 7k lah ini dkt bgt dr rmh ke sekolah pake nolak"" 😏",grab hemat k padahal anter nya deket jarak cuma bawa bocah sd orang bnyak banget yang pilih drivernya jarang yang mau bawa orang anak kecil argo k maklum lah kalau jarak nya jauh k lah dkt banget dari rmh sekolah pakai nolak
Rara Padil,Grab,5,2026-04-19 23:56:58,bnyk promo 🙏,banyak promo
raihan akbar,Grab,4,2026-04-19 23:15:36,"tolong dong klo semisalnya kita mau pesen, sebelum pesen tuh tahu lokasi pengendara nya dulu, jadi kita bisa tau ini jauh apa engga dapet nya, klo jauh bisa ulang atau nyari yg lain, saya setiap mau berangkat suka dapet yg jauh terus, padahal yg deket suka ada",dong kalau misal mau sen sen itu tahu lokasi kendara nya dulu jadi tau jauh apa engga dapet nya kalau jauh bisa ulang nyari yang saya mau berangkat suka dapet yang jauh terus padahal yang deket suka
Nilam Nilam Cahya aini,Grab,1,2026-04-19 23:14:02,"bagusan yg dulu, klo skrg susah dpt driver",bagus yang dulu kalau sekarang susah dpt pengemudi
Bambang Zulaiha,Grab,1,2026-04-19 23:12:00,mahal.....you ingat saya orang kaya ke????,mahalyou ingat orang kaya
Ikbal Maulana,Grab,2,2026-04-19 23:01:22,ga sesuai aja layanan lama driver pun laamaa kacaw,tidak sesuai aja layan lama pengemudi laamaa kacaw
Teriyanaa ana,Grab,5,2026-04-19 22:58:56,lumayan membantu,lumayan bantu
Bcs Elektrik,Grab,4,2026-04-19 22:46:12,sangat membantu,sangat bantu
Annie Chang,Grab,5,2026-04-19 19:24:15,Very helpfull,very helpfull
Rizal Effendi,Grab,5,2026-04-19 18:23:46,mantap,mantap
Salim Onur,Grab,5,2026-04-19 17:47:58,mantap driver nya siaga,mantap pengemudi nya siaga
shaqib haidhar,Grab,1,2026-04-19 17:28:00,masa loading truss ni aplikasi mau pesen apaan muter trus..??,masa memuat truss ni aplikasi mau sen apa muter trus
nisa sari,Grab,5,2026-04-19 17:17:25,mantap,mantap
Bimo R,Grab,1,2026-04-19 16:49:59,balum bisa musuk grab,balum musuk grab
Rofi Adi Sopian,Grab,5,2026-04-19 16:10:58,sangat baik,sangat baik
